0 | 0 | AR1420 | SBZK Running | 30
30 | 30 | AR1420 | SBZK Waiting | 30
30 | 30 | AR2420 | SBZK Running | 30
60 | 60 | AR1420 | SBZK Running | 30
60 | 60 | AR2420 | SBZK Waiting | 30
90 | 90 | AR1420 | QBT Running | 30
90 | 90 | AR2420 | SBZK Running | 30
120 | 120 | AR1420 | QBT Waiting | 30
120 | 120 | AR2420 | QBT Running | 30
150 | 150 | AR1420 | QBT Running | 30
150 | 150 | AR2420 | QBT Waiting | 30
180 | 180 | AR1420 | QBT Waiting | 30
180 | 180 | AR2420 | QBT Running | 30
210 | 210 | AR1420 | QBT Running | 30
210 | 210 | AR2420 | QBT Waiting | 30
240 | 240 | AR1420 | QBT Waiting | 30
240 | 240 | AR2420 | QBT Running | 30
270 | 270 | AR1420 | QBT Running | 30
270 | 270 | AR2420 | QBT Waiting | 30
300 | 300 | AR1420 | SBZK Running | 30
300 | 300 | AR2420 | QBT Running | 30
330 | 330 | AR1420 | SBZK Waiting | 30
330 | 330 | AR2420 | SBZK Running | 30
360 | 360 | AR1420 | SBZK Running | 30
360 | 360 | AR2420 | SBZK Waiting | 30
390 | 390 | AR1420 | WUO Running | 30
390 | 390 | AR2420 | SBZK Running | 30
420 | 420 | AR1420 | WUO Waiting | 30
420 | 420 | AR2420 | WUO Running | 30
450 | 450 | AR1420 | WUO Running | 30
450 | 450 | AR2420 | WUO Waiting | 30
480 | 480 | AR1420 | WUO Waiting | 30
480 | 480 | AR2420 | WUO Running | 30
510 | 510 | AR1420 | WUO Running | 30
510 | 510 | AR2420 | WUO Waiting | 30
540 | 540 | AR1420 | WUO Waiting | 30
540 | 540 | AR2420 | WUO Running | 30
570 | 570 | AR1420 | WUO Running | 30
570 | 570 | AR2420 | WUO Waiting | 30
600 | 600 | AR1420 | SBZK Running | 30
600 | 600 | AR2420 | WUO Running | 30
630 | 630 | AR1420 | Finished | 0
630 | 630 | AR2420 | SBZK Running | 30
660 | 660 | AR2420 | Finished | 0
