8 | 8 | WU4911 | AEYX Running | 275
38 | 38 | WU4911 | AEYX Running | 245
68 | 68 | WU4911 | AEYX Running | 215
83 | 83 | BI8641 | HENQ Running | 71
98 | 98 | WU4911 | AEYX Running | 185
113 | 113 | BI8641 | HENQ Running | 41
128 | 128 | WU4911 | AEYX Running | 155
143 | 143 | BI8641 | HENQ Running | 11
154 | 154 | BI8641 | HENQ Waiting | 186
158 | 158 | WU4911 | AEYX Running | 125
188 | 188 | WU4911 | AEYX Running | 95
196 | 218 | JK5854 | AEYX Running | 357
218 | 248 | WU4911 | AEYX Running | 65
248 | 278 | JK5854 | AEYX Running | 327
268 | 308 | OB2611 | AEYX Running | 316
278 | 338 | WU4911 | AEYX Running | 35
285 | 285 | FY2231 | SKHG Running | 249
308 | 368 | JK5854 | AEYX Running | 297
315 | 315 | FY2231 | SKHG Running | 219
338 | 398 | OB2611 | AEYX Running | 286
340 | 340 | BI8641 | HENQ Running | 373
345 | 345 | FY2231 | SKHG Running | 189
368 | 428 | WU4911 | AEYX Running | 5
370 | 370 | BI8641 | HENQ Running | 343
375 | 375 | FY2231 | SKHG Running | 159
379 | 400 | JB1993 | HENQ Running | 96
379 | 379 | RP1389 | OTHL Running | 13
392 | 392 | RP1389 | OTHL Waiting | 77
398 | 433 | JK5854 | AEYX Running | 267
400 | 430 | BI8641 | HENQ Running | 313
405 | 405 | LT8080 | SKHG Running | 237
405 | 435 | FY2231 | SKHG Running | 129
428 | 463 | OB2611 | AEYX Running | 256
430 | 460 | JB1993 | HENQ Running | 66
433 | 433 | WU4911 | AEYX Waiting | 363
435 | 465 | LT8080 | SKHG Running | 207
436 | 490 | XT7284 | HENQ Running | 408
460 | 520 | BI8641 | HENQ Running | 283
463 | 493 | JK5854 | AEYX Running | 237
465 | 495 | FY2231 | SKHG Running | 99
469 | 469 | RP1389 | OTHL Running | 125
490 | 550 | JB1993 | HENQ Running | 36
493 | 523 | OB2611 | AEYX Running | 226
495 | 525 | LT8080 | SKHG Running | 177
499 | 499 | RP1389 | OTHL Running | 95
520 | 580 | XT7284 | HENQ Running | 378
523 | 553 | JK5854 | AEYX Running | 207
525 | 555 | FY2231 | SKHG Running | 69
529 | 529 | RP1389 | OTHL Running | 65
548 | 548 | BT1022 | GGFI Running | 98
550 | 610 | BI8641 | HENQ Running | 253
553 | 583 | OB2611 | AEYX Running | 196
555 | 585 | LT8080 | SKHG Running | 147
556 | 613 | RY3235 | AEYX Running | 44
556 | 578 | SG7555 | GGFI Running | 251
559 | 559 | RP1389 | OTHL Running | 35
577 | 589 | MB3250 | OTHL Running | 266
578 | 608 | BT1022 | GGFI Running | 68
580 | 640 | JB1993 | HENQ Running | 6
583 | 643 | JK5854 | AEYX Running | 177
585 | 615 | FY2231 | SKHG Running | 39
589 | 619 | RP1389 | OTHL Running | 5
608 | 638 | SG7555 | GGFI Running | 221
610 | 646 | XT7284 | HENQ Running | 348
613 | 673 | OB2611 | AEYX Running | 166
615 | 645 | LT8080 | SKHG Running | 117
619 | 624 | MB3250 | OTHL Running | 236
621 | 676 | OP8529 | HENQ Running | 376
624 | 624 | RP1389 | BUR Running | 230
638 | 668 | BT1022 | GGFI Running | 38
640 | 706 | BI8641 | HENQ Running | 223
642 | 703 | HF7943 | AEYX Running | 244
643 | 733 | RY3235 | AEYX Running | 14
645 | 675 | FY2231 | SKHG Running | 9
646 | 646 | JB1993 | HENQ Waiting | 55
654 | 654 | MB3250 | OTHL Running | 206
668 | 698 | SG7555 | GGFI Running | 191
673 | 747 | JK5854 | AEYX Running | 147
675 | 684 | LT8080 | SKHG Running | 87
676 | 736 | XT7284 | HENQ Running | 318
684 | 684 | FY2231 | SKHG Waiting | 179
684 | 684 | MB3250 | OTHL Running | 176
698 | 728 | BT1022 | GGFI Running | 8
699 | 766 | YL8763 | HENQ Running | 269
701 | 796 | JB1993 | HENQ Running | 344
703 | 777 | OB2611 | AEYX Running | 136
706 | 826 | OP8529 | HENQ Running | 346
714 | 714 | LT8080 | SKHG Running | 57
714 | 714 | MB3250 | OTHL Running | 146
727 | 807 | BK7385 | AEYX Running | 484
728 | 736 | SG7555 | GGFI Running | 161
733 | 837 | HF7943 | AEYX Running | 214
736 | 736 | BT1022 | GGFI Waiting | 178
736 | 856 | BI8641 | HENQ Running | 193
744 | 744 | LT8080 | SKHG Running | 27
744 | 744 | MB3250 | OTHL Running | 116
747 | 747 | RY3235 | AEYX Waiting | 6
753 | 867 | RY3235 | AEYX Running | 422
764 | 886 | KF5674 | HENQ Running | 93
766 | 774 | GI2602 | OTHL Running | 294
766 | 766 | SG7555 | GGFI Running | 131
766 | 916 | XT7284 | HENQ Running | 288
771 | 771 | LT8080 | SKHG Waiting | 420
774 | 804 | MB3250 | OTHL Running | 86
777 | 897 | JK5854 | AEYX Running | 117
786 | 786 | AJ8361 | SKHG Running | 349
796 | 927 | WU4911 | AEYX Running | 132
796 | 796 | SG7555 | GGFI Running | 101
796 | 946 | YL8763 | HENQ Running | 239
804 | 834 | GI2602 | OTHL Running | 264
807 | 957 | OB2611 | AEYX Running | 106
816 | 816 | AJ8361 | SKHG Running | 319
826 | 976 | JB1993 | HENQ Running | 314
826 | 826 | SG7555 | GGFI Running | 71
830 | 856 | LZ2505 | GGFI Running | 440
832 | 1006 | KI1087 | HENQ Running | 258
834 | 864 | MB3250 | OTHL Running | 56
835 | 846 | TK6987 | SKHG Running | 305
837 | 987 | BK7385 | AEYX Running | 454
840 | 1017 | MA7428 | AEYX Running | 265
846 | 876 | AJ8361 | SKHG Running | 289
854 | 854 | RP1389 | BUR Waiting | 272
856 | 1036 | OP8529 | HENQ Running | 316
856 | 886 | SG7555 | GGFI Running | 41
863 | 906 | FY2231 | SKHG Running | 94
864 | 894 | GI2602 | OTHL Running | 234
867 | 1047 | HF7943 | AEYX Running | 184
