1 | 1 | TC8445 | GTYI Running | 71
9 | 9 | KF5759 | ZCDT Running | 55
18 | 31 | XW4956 | GTYI Running | 362
31 | 61 | TC8445 | GTYI Running | 41
39 | 39 | KF5759 | ZCDT Running | 25
43 | 43 | KN2716 | IDRA Running | 38
61 | 61 | XD8404 | WQSY Running | 260
61 | 91 | XW4956 | GTYI Running | 332
64 | 64 | KF5759 | ZCDT Waiting | 285
73 | 73 | KN2716 | IDRA Running | 8
80 | 121 | CC3461 | GTYI Running | 266
81 | 81 | KN2716 | IDRA Waiting | 418
91 | 151 | TC8445 | GTYI Running | 11
91 | 91 | XD8404 | WQSY Running | 230
97 | 97 | AC8893 | AMZJ Running | 282
121 | 121 | XD8404 | WQSY Running | 200
121 | 162 | XW4956 | GTYI Running | 302
127 | 127 | AC8893 | AMZJ Running | 252
148 | 148 | TU5605 | ZCDT Running | 465
151 | 192 | CC3461 | GTYI Running | 236
151 | 151 | XD8404 | WQSY Running | 170
157 | 157 | AC8893 | AMZJ Running | 222
161 | 187 | WE8143 | AMZJ Running | 242
162 | 162 | TC8445 | GTYI Waiting | 292
178 | 178 | TU5605 | ZCDT Running | 435
181 | 181 | XD8404 | WQSY Running | 140
187 | 217 | AC8893 | AMZJ Running | 192
192 | 222 | XW4956 | GTYI Running | 272
197 | 211 | QA3093 | WQSY Running | 404
199 | 199 | YM2844 | IDRA Running | 8
202 | 247 | LM5481 | AMZJ Running | 357
207 | 207 | YM2844 | IDRA Waiting | 102
208 | 208 | TU5605 | ZCDT Running | 405
211 | 241 | XD8404 | WQSY Running | 110
217 | 277 | WE8143 | AMZJ Running | 212
222 | 252 | CC3461 | GTYI Running | 206
238 | 238 | TU5605 | ZCDT Running | 375
241 | 271 | QA3093 | WQSY Running | 374
247 | 307 | AC8893 | AMZJ Running | 162
252 | 282 | XW4956 | GTYI Running | 242
268 | 268 | TU5605 | ZCDT Running | 345
271 | 301 | XD8404 | WQSY Running | 80
277 | 337 | LM5481 | AMZJ Running | 327
279 | 298 | OV4554 | ZCDT Running | 171
282 | 312 | CC3461 | GTYI Running | 176
298 | 328 | TU5605 | ZCDT Running | 315
301 | 331 | QA3093 | WQSY Running | 344
302 | 358 | LQ8202 | ZCDT Running | 244
307 | 367 | WE8143 | AMZJ Running | 182
309 | 309 | YM2844 | IDRA Running | 202
312 | 342 | XW4956 | GTYI Running | 212
320 | 372 | QX1759 | GTYI Running | 495
328 | 388 | OV4554 | ZCDT Running | 141
331 | 361 | XD8404 | WQSY Running | 50
337 | 397 | AC8893 | AMZJ Running | 132
339 | 339 | YM2844 | IDRA Running | 172
342 | 402 | CC3461 | GTYI Running | 146
349 | 418 | KF5759 | ZCDT Running | 82
358 | 448 | TU5605 | ZCDT Running | 285
361 | 391 | QA3093 | WQSY Running | 314
367 | 427 | LM5481 | AMZJ Running | 297
369 | 369 | YM2844 | IDRA Running | 142
372 | 432 | XW4956 | GTYI Running | 182
388 | 478 | LQ8202 | ZCDT Running | 214
391 | 421 | XD8404 | WQSY Running | 20
397 | 457 | WE8143 | AMZJ Running | 152
399 | 399 | YM2844 | IDRA Running | 112
402 | 462 | QX1759 | GTYI Running | 465
418 | 508 | OV4554 | ZCDT Running | 111
