20 | 20 | KZ5553 | FJSX Running | 97
38 | 38 | OO8864 | SRBM Running | 130
50 | 50 | KZ5553 | FJSX Running | 67
68 | 68 | OO8864 | SRBM Running | 100
80 | 80 | KZ5553 | FJSX Running | 37
98 | 98 | OO8864 | SRBM Running | 70
101 | 101 | GU6400 | ALIV Running | 152
110 | 110 | KZ5553 | FJSX Running | 7
117 | 117 | KZ5553 | FJSX Waiting | 410
124 | 124 | RX8056 | FJSX Running | 366
128 | 128 | OO8864 | SRBM Running | 40
131 | 131 | GU6400 | ALIV Running | 122
154 | 154 | RX8056 | FJSX Running | 336
158 | 158 | OO8864 | SRBM Running | 10
161 | 161 | GU6400 | ALIV Running | 92
168 | 168 | OO8864 | SRBM Waiting | 174
184 | 184 | RX8056 | FJSX Running | 306
191 | 191 | GU6400 | ALIV Running | 62
206 | 214 | MN7646 | FJSX Running | 218
214 | 214 | SU6401 | EOUY Running | 188
214 | 244 | RX8056 | FJSX Running | 276
215 | 215 | OJ8092 | FFTC Running | 298
217 | 245 | NJ8281 | FFTC Running | 102
221 | 275 | QD3715 | FFTC Running | 459
221 | 221 | GU6400 | ALIV Running | 32
234 | 244 | RT4035 | EOUY Running | 94
236 | 305 | QJ6920 | FFTC Running | 454
244 | 274 | MN7646 | FJSX Running | 188
244 | 274 | SU6401 | EOUY Running | 158
245 | 335 | OJ8092 | FFTC Running | 268
251 | 251 | GU6400 | ALIV Running | 2
253 | 253 | GU6400 | ALIV Waiting | 466
273 | 304 | RB5112 | EOUY Running | 83
274 | 334 | RT4035 | EOUY Running | 64
274 | 304 | RX8056 | FJSX Running | 246
275 | 365 | NJ8281 | FFTC Running | 72
302 | 395 | AB7275 | FFTC Running | 454
304 | 334 | MN7646 | FJSX Running | 158
304 | 364 | SU6401 | EOUY Running | 128
305 | 425 | QD3715 | FFTC Running | 429
334 | 394 | RB5112 | EOUY Running | 53
334 | 364 | RX8056 | FJSX Running | 216
335 | 455 | QJ6920 | FFTC Running | 424
342 | 342 | OO8864 | SRBM Running | 134
364 | 394 | MN7646 | FJSX Running | 128
364 | 424 | RT4035 | EOUY Running | 34
365 | 485 | OJ8092 | FFTC Running | 238
368 | 368 | IK3661 | ALIV Running | 183
372 | 372 | OO8864 | SRBM Running | 104
394 | 424 | RX8056 | FJSX Running | 186
394 | 454 | SU6401 | EOUY Running | 98
395 | 515 | NJ8281 | FFTC Running | 42
398 | 398 | IK3661 | ALIV Running | 153
402 | 402 | OO8864 | SRBM Running | 74
424 | 454 | MN7646 | FJSX Running | 98
424 | 484 | RB5112 | EOUY Running | 23
425 | 545 | AB7275 | FFTC Running | 424
428 | 428 | IK3661 | ALIV Running | 123
432 | 432 | OO8864 | SRBM Running | 44
454 | 507 | RT4035 | EOUY Running | 4
454 | 484 | RX8056 | FJSX Running | 156
455 | 575 | QD3715 | FFTC Running | 399
458 | 458 | IK3661 | ALIV Running | 93
462 | 462 | OO8864 | SRBM Running | 14
473 | 476 | UK2328 | SRBM Running | 209
476 | 476 | OO8864 | VNG Running | 446
484 | 514 | MN7646 | FJSX Running | 68
484 | 511 | SU6401 | EOUY Running | 68
485 | 605 | QJ6920 | FFTC Running | 394
488 | 488 | IK3661 | ALIV Running | 63
490 | 518 | JY3265 | ALIV Running | 431
506 | 506 | UK2328 | SRBM Running | 179
507 | 507 | RB5112 | EOUY Waiting | 203
511 | 511 | RT4035 | EOUY Waiting | 91
514 | 544 | RX8056 | FJSX Running | 126
515 | 635 | OJ8092 | FFTC Running | 208
