2 | 2 | KT2848 | ZFSG Running | 163
8 | 8 | OE1633 | ZUJO Running | 17
25 | 25 | OE1633 | ZUJO Waiting | 4
29 | 29 | OE1633 | ZUJO Running | 70
32 | 32 | KT2848 | ZFSG Running | 133
59 | 62 | OB7273 | ZFSG Running | 450
59 | 59 | OE1633 | ZUJO Running | 40
62 | 92 | KT2848 | ZFSG Running | 103
75 | 89 | KY8859 | ZUJO Running | 101
88 | 122 | KZ4389 | ZFSG Running | 279
89 | 119 | OE1633 | ZUJO Running | 10
92 | 152 | OB7273 | ZFSG Running | 420
119 | 129 | KY8859 | ZUJO Running | 71
122 | 182 | KT2848 | ZFSG Running | 73
129 | 129 | OE1633 | YWW Running | 405
152 | 212 | KZ4389 | ZFSG Running | 249
158 | 159 | YX1903 | ZUJO Running | 498
159 | 189 | KY8859 | ZUJO Running | 41
180 | 180 | YM6910 | GXGP Running | 152
182 | 242 | OB7273 | ZFSG Running | 390
189 | 219 | YX1903 | ZUJO Running | 468
192 | 272 | YR8562 | ZFSG Running | 496
210 | 210 | SI3252 | EHSP Running | 362
210 | 210 | YM6910 | GXGP Running | 122
212 | 302 | KT2848 | ZFSG Running | 43
219 | 249 | KY8859 | ZUJO Running | 11
223 | 240 | IY8767 | EHSP Running | 88
224 | 224 | FG8127 | TTSK Running | 235
240 | 270 | SI3252 | EHSP Running | 332
240 | 240 | YM6910 | GXGP Running | 92
242 | 332 | KZ4389 | ZFSG Running | 219
249 | 260 | YX1903 | ZUJO Running | 438
253 | 362 | GL3702 | ZFSG Running | 165
254 | 254 | FG8127 | TTSK Running | 205
260 | 260 | KY8859 | ZUJO Waiting | 459
269 | 270 | NB7005 | GXGP Running | 430
270 | 300 | IY8767 | EHSP Running | 58
270 | 300 | YM6910 | GXGP Running | 62
272 | 392 | OB7273 | ZFSG Running | 360
284 | 284 | FG8127 | TTSK Running | 175
290 | 290 | YX1903 | ZUJO Running | 408
300 | 330 | NB7005 | GXGP Running | 400
300 | 330 | SI3252 | EHSP Running | 302
302 | 422 | YR8562 | ZFSG Running | 466
314 | 314 | FG8127 | TTSK Running | 145
320 | 320 | YX1903 | ZUJO Running | 378
326 | 360 | YL3443 | EHSP Running | 103
330 | 390 | IY8767 | EHSP Running | 28
330 | 360 | YM6910 | GXGP Running | 32
332 | 452 | KT2848 | ZFSG Running | 13
341 | 418 | MC5678 | EHSP Running | 488
344 | 344 | FG8127 | TTSK Running | 115
350 | 350 | YX1903 | ZUJO Running | 348
360 | 390 | NB7005 | GXGP Running | 370
360 | 448 | SI3252 | EHSP Running | 272
362 | 465 | KZ4389 | ZFSG Running | 189
374 | 374 | FG8127 | TTSK Running | 85
380 | 380 | YX1903 | ZUJO Running | 318
390 | 478 | YL3443 | EHSP Running | 73
390 | 420 | YM6910 | GXGP Running | 2
392 | 495 | GL3702 | ZFSG Running | 135
395 | 410 | WE1790 | ZUJO Running | 271
404 | 404 | FG8127 | TTSK Running | 55
