28 | 28 | AD8511 | OOAZ Running | 477
58 | 58 | AD8511 | OOAZ Running | 447
74 | 74 | VD8687 | ESMH Running | 4
78 | 78 | VD8687 | ESMH Waiting | 409
82 | 82 | GI5277 | DXVZ Running | 437
88 | 88 | AD8511 | OOAZ Running | 417
109 | 109 | AF6242 | BQYR Running | 386
112 | 112 | GI5277 | DXVZ Running | 407
118 | 118 | AD8511 | OOAZ Running | 387
139 | 139 | AF6242 | BQYR Running | 356
142 | 142 | GI5277 | DXVZ Running | 377
148 | 148 | AD8511 | OOAZ Running | 357
169 | 169 | AF6242 | BQYR Running | 326
171 | 178 | JT3277 | OOAZ Running | 405
172 | 172 | GI5277 | DXVZ Running | 347
178 | 208 | AD8511 | OOAZ Running | 327
199 | 199 | AF6242 | BQYR Running | 296
202 | 202 | GI5277 | DXVZ Running | 317
208 | 238 | JT3277 | OOAZ Running | 375
219 | 219 | TL2982 | HGFW Running | 361
222 | 249 | NN8794 | HGFW Running | 90
229 | 229 | AF6242 | BQYR Running | 266
232 | 232 | GI5277 | DXVZ Running | 287
238 | 268 | AD8511 | OOAZ Running | 297
249 | 279 | TL2982 | HGFW Running | 331
259 | 259 | AF6242 | BQYR Running | 236
262 | 262 | GI5277 | DXVZ Running | 257
268 | 298 | JT3277 | OOAZ Running | 345
279 | 309 | NN8794 | HGFW Running | 60
280 | 292 | ZR8988 | DXVZ Running | 394
289 | 289 | AF6242 | BQYR Running | 206
292 | 322 | GI5277 | DXVZ Running | 227
298 | 328 | AD8511 | OOAZ Running | 267
309 | 339 | TL2982 | HGFW Running | 301
319 | 319 | AF6242 | BQYR Running | 176
322 | 352 | ZR8988 | DXVZ Running | 364
328 | 358 | JT3277 | OOAZ Running | 315
339 | 369 | NN8794 | HGFW Running | 30
349 | 349 | AF6242 | BQYR Running | 146
352 | 382 | GI5277 | DXVZ Running | 197
358 | 388 | AD8511 | OOAZ Running | 237
369 | 399 | TL2982 | HGFW Running | 271
379 | 379 | AF6242 | BQYR Running | 116
382 | 412 | ZR8988 | DXVZ Running | 334
388 | 418 | JT3277 | OOAZ Running | 285
399 | 399 | NN8794 | HGFW Waiting | 223
409 | 409 | AF6242 | BQYR Running | 86
412 | 442 | GI5277 | DXVZ Running | 167
418 | 448 | AD8511 | OOAZ Running | 207
429 | 429 | TL2982 | HGFW Running | 241
439 | 439 | AF6242 | BQYR Running | 56
442 | 472 | ZR8988 | DXVZ Running | 304
448 | 469 | NH6242 | BQYR Running | 292
448 | 478 | JT3277 | OOAZ Running | 255
459 | 459 | TL2982 | HGFW Running | 211
469 | 499 | AF6242 | BQYR Running | 26
472 | 502 | GI5277 | DXVZ Running | 137
478 | 508 | AD8511 | OOAZ Running | 177
483 | 483 | LM3957 | ESMH Running | 427
487 | 513 | VD8687 | ESMH Running | 313
489 | 489 | TL2982 | HGFW Running | 181
499 | 525 | NH6242 | BQYR Running | 262
502 | 532 | ZR8988 | DXVZ Running | 274
508 | 538 | JT3277 | OOAZ Running | 225
513 | 543 | LM3957 | ESMH Running | 397
519 | 519 | TL2982 | HGFW Running | 151
525 | 525 | AF6242 | BQYR Waiting | 307
532 | 562 | GI5277 | DXVZ Running | 107
538 | 568 | AD8511 | OOAZ Running | 147
543 | 598 | IE1748 | OOAZ Running | 383
543 | 573 | VD8687 | ESMH Running | 283
549 | 549 | TL2982 | HGFW Running | 121
555 | 579 | AY4830 | HGFW Running | 392
555 | 555 | NH6242 | BQYR Running | 232
562 | 592 | ZR8988 | DXVZ Running | 244
