3 | 3 | GC9521 | CJTY Running | 437
22 | 22 | QU7673 | XEHG Running | 436
33 | 33 | GC9521 | CJTY Running | 407
52 | 52 | QU7673 | XEHG Running | 406
56 | 56 | YS5313 | WOGG Running | 58
63 | 63 | GC9521 | CJTY Running | 377
74 | 74 | II7761 | ZTXV Running | 329
82 | 82 | QU7673 | XEHG Running | 376
86 | 86 | YS5313 | WOGG Running | 28
93 | 93 | GC9521 | CJTY Running | 347
104 | 104 | II7761 | ZTXV Running | 299
112 | 112 | QU7673 | XEHG Running | 346
114 | 114 | YS5313 | WOGG Waiting | 293
123 | 123 | GC9521 | CJTY Running | 317
134 | 134 | II7761 | ZTXV Running | 269
142 | 142 | QU7673 | XEHG Running | 316
153 | 153 | GC9521 | CJTY Running | 287
164 | 164 | II7761 | ZTXV Running | 239
172 | 172 | QU7673 | XEHG Running | 286
183 | 183 | GC9521 | CJTY Running | 257
194 | 194 | II7761 | ZTXV Running | 209
202 | 202 | QU7673 | XEHG Running | 256
213 | 213 | GC9521 | CJTY Running | 227
217 | 217 | UR2397 | LJTV Running | 172
218 | 218 | XZ7278 | IWEJ Running | 480
224 | 224 | II7761 | ZTXV Running | 179
232 | 232 | QU7673 | XEHG Running | 226
239 | 239 | DD9967 | TCXS Running | 105
243 | 243 | GC9521 | CJTY Running | 197
247 | 247 | XM3977 | BSPW Running | 295
247 | 247 | UR2397 | LJTV Running | 142
248 | 248 | XZ7278 | IWEJ Running | 450
254 | 254 | PE6014 | JUQR Running | 16
254 | 254 | II7761 | ZTXV Running | 149
262 | 262 | QU7673 | XEHG Running | 196
269 | 269 | DD9967 | TCXS Running | 75
270 | 270 | PE6014 | JUQR Waiting | 165
273 | 273 | GC9521 | CJTY Running | 167
277 | 277 | UR2397 | LJTV Running | 112
277 | 277 | XM3977 | BSPW Running | 265
278 | 278 | XZ7278 | IWEJ Running | 420
284 | 284 | II7761 | ZTXV Running | 119
292 | 292 | QU7673 | XEHG Running | 166
299 | 299 | DD9967 | TCXS Running | 45
303 | 303 | GC9521 | CJTY Running | 137
307 | 307 | UR2397 | LJTV Running | 82
307 | 307 | XM3977 | BSPW Running | 235
308 | 308 | XZ7278 | IWEJ Running | 390
314 | 314 | II7761 | ZTXV Running | 89
322 | 322 | QU7673 | XEHG Running | 136
324 | 324 | QU3910 | FLNB Running | 27
329 | 329 | DD9967 | TCXS Running | 15
333 | 333 | GC9521 | CJTY Running | 107
337 | 337 | UR2397 | LJTV Running | 52
337 | 337 | XM3977 | BSPW Running | 205
338 | 338 | XZ7278 | IWEJ Running | 360
344 | 344 | DD9967 | TCXS Waiting | 370
344 | 344 | II7761 | ZTXV Running | 59
351 | 351 | QU3910 | FLNB Waiting | 24
352 | 352 | QU7673 | XEHG Running | 106
363 | 363 | GC9521 | CJTY Running | 77
367 | 367 | UR2397 | LJTV Running | 22
367 | 367 | XM3977 | BSPW Running | 175
368 | 368 | XZ7278 | IWEJ Running | 330
370 | 370 | HL2348 | XODE Running | 258
374 | 374 | II7761 | ZTXV Running | 29
375 | 375 | QJ4589 | FKIV Running | 332
375 | 375 | QU3910 | FLNB Running | 368
