7 | 7 | EZ1979 | QWJQ Running | 199
37 | 37 | EZ1979 | QWJQ Running | 169
67 | 67 | EZ1979 | QWJQ Running | 139
97 | 97 | EZ1979 | QWJQ Running | 109
127 | 127 | EZ1979 | QWJQ Running | 79
157 | 157 | EZ1979 | QWJQ Running | 49
187 | 187 | EZ1979 | QWJQ Running | 19
206 | 206 | EZ1979 | QWJQ Waiting | 219
425 | 425 | EZ1979 | QWJQ Running | 47
455 | 455 | EZ1979 | QWJQ Running | 17
472 | 472 | EZ1979 | TYV Running | 360
832 | 832 | EZ1979 | TYV Waiting | 101
933 | 933 | EZ1979 | TYV Running | 243
1176 | 1176 | EZ1979 | TYV Waiting | 217
1393 | 1393 | EZ1979 | TYV Running | 325
1718 | 1718 | EZ1979 | TYV Waiting | 51
1769 | 1769 | EZ1979 | TYV Running | 89
1858 | 1858 | EZ1979 | QWJQ Running | 172
1888 | 1888 | EZ1979 | QWJQ Running | 142
1918 | 1918 | EZ1979 | QWJQ Running | 112
1948 | 1948 | EZ1979 | QWJQ Running | 82
1978 | 1978 | EZ1979 | QWJQ Running | 52
2008 | 2008 | EZ1979 | QWJQ Running | 22
2030 | 2030 | EZ1979 | QWJQ Waiting | 81
2111 | 2111 | EZ1979 | QWJQ Running | 441
2141 | 2141 | EZ1979 | QWJQ Running | 411
2171 | 2171 | EZ1979 | QWJQ Running | 381
2201 | 2201 | EZ1979 | QWJQ Running | 351
2231 | 2231 | EZ1979 | QWJQ Running | 321
2261 | 2261 | EZ1979 | QWJQ Running | 291
2291 | 2291 | EZ1979 | QWJQ Running | 261
2321 | 2321 | EZ1979 | QWJQ Running | 231
2351 | 2351 | EZ1979 | QWJQ Running | 201
2381 | 2381 | EZ1979 | QWJQ Running | 171
2411 | 2411 | EZ1979 | QWJQ Running | 141
2441 | 2441 | EZ1979 | QWJQ Running | 111
2471 | 2471 | EZ1979 | QWJQ Running | 81
2501 | 2501 | EZ1979 | QWJQ Running | 51
2531 | 2531 | EZ1979 | QWJQ Running | 21
2552 | 2552 | EZ1979 | DEV Running | 66
2618 | 2618 | EZ1979 | DEV Waiting | 241
2859 | 2859 | EZ1979 | DEV Running | 365
3224 | 3224 | EZ1979 | DEV Waiting | 435
3659 | 3659 | EZ1979 | DEV Running | 117
3776 | 3776 | EZ1979 | DEV Waiting | 199
3975 | 3975 | EZ1979 | DEV Running | 178
4153 | 4153 | EZ1979 | QWJQ Running | 214
4183 | 4183 | EZ1979 | QWJQ Running | 184
4213 | 4213 | EZ1979 | QWJQ Running | 154
4243 | 4243 | EZ1979 | QWJQ Running | 124
4273 | 4273 | EZ1979 | QWJQ Running | 94
4303 | 4303 | EZ1979 | QWJQ Running | 64
4333 | 4333 | EZ1979 | QWJQ Running | 34
4363 | 4363 | EZ1979 | QWJQ Running | 4
4367 | 4367 | EZ1979 | Finished | 0
