45 | 45 | WX2423 | LTDH Running | 224
51 | 75 | TI3961 | LTDH Running | 47
75 | 105 | WX2423 | LTDH Running | 194
77 | 135 | AB8377 | LTDH Running | 33
105 | 165 | TI3961 | LTDH Running | 17
135 | 182 | WX2423 | LTDH Running | 164
165 | 212 | AB8377 | LTDH Running | 3
182 | 182 | TI3961 | LTDH Waiting | 388
212 | 215 | WX2423 | LTDH Running | 134
215 | 215 | AB8377 | LTDH Waiting | 248
245 | 245 | WX2423 | LTDH Running | 104
275 | 275 | WX2423 | LTDH Running | 74
305 | 305 | WX2423 | LTDH Running | 44
335 | 335 | WX2423 | LTDH Running | 14
349 | 349 | WX2423 | LTDH Waiting | 499
463 | 463 | AB8377 | LTDH Running | 382
493 | 493 | AB8377 | LTDH Running | 352
523 | 523 | AB8377 | LTDH Running | 322
553 | 553 | AB8377 | LTDH Running | 292
570 | 583 | TI3961 | LTDH Running | 455
583 | 613 | AB8377 | LTDH Running | 262
613 | 643 | TI3961 | LTDH Running | 425
643 | 673 | AB8377 | LTDH Running | 232
673 | 703 | TI3961 | LTDH Running | 395
703 | 733 | AB8377 | LTDH Running | 202
733 | 763 | TI3961 | LTDH Running | 365
763 | 793 | AB8377 | LTDH Running | 172
793 | 823 | TI3961 | LTDH Running | 335
823 | 853 | AB8377 | LTDH Running | 142
848 | 883 | WX2423 | LTDH Running | 412
853 | 913 | TI3961 | LTDH Running | 305
883 | 943 | AB8377 | LTDH Running | 112
913 | 973 | WX2423 | LTDH Running | 382
943 | 1003 | TI3961 | LTDH Running | 275
973 | 1033 | AB8377 | LTDH Running | 82
1003 | 1063 | WX2423 | LTDH Running | 352
1033 | 1093 | TI3961 | LTDH Running | 245
1063 | 1123 | AB8377 | LTDH Running | 52
1093 | 1153 | WX2423 | LTDH Running | 322
1123 | 1183 | TI3961 | LTDH Running | 215
1153 | 1213 | AB8377 | LTDH Running | 22
1183 | 1235 | WX2423 | LTDH Running | 292
1213 | 1265 | TI3961 | LTDH Running | 185
1235 | 1235 | AB8377 | EXK Running | 363
1265 | 1295 | WX2423 | LTDH Running | 262
1295 | 1325 | TI3961 | LTDH Running | 155
1325 | 1355 | WX2423 | LTDH Running | 232
1355 | 1385 | TI3961 | LTDH Running | 125
1385 | 1415 | WX2423 | LTDH Running | 202
1415 | 1445 | TI3961 | LTDH Running | 95
1445 | 1475 | WX2423 | LTDH Running | 172
1475 | 1505 | TI3961 | LTDH Running | 65
1505 | 1535 | WX2423 | LTDH Running | 142
1535 | 1565 | TI3961 | LTDH Running | 35
1565 | 1595 | WX2423 | LTDH Running | 112
1595 | 1625 | TI3961 | LTDH Running | 5
1598 | 1598 | AB8377 | EXK Waiting | 165
1625 | 1630 | WX2423 | LTDH Running | 82
1630 | 1630 | TI3961 | FSQ Running | 55
1660 | 1660 | WX2423 | LTDH Running | 52
1685 | 1685 | TI3961 | FSQ Waiting | 178
1690 | 1690 | WX2423 | LTDH Running | 22
1712 | 1712 | WX2423 | TEU Running | 154
1763 | 1763 | AB8377 | EXK Running | 264
1863 | 1863 | TI3961 | FSQ Running | 276
1866 | 1866 | WX2423 | TEU Waiting | 16
1882 | 1882 | WX2423 | TEU Running | 62
1944 | 1944 | WX2423 | TEU Waiting | 44
1988 | 1988 | WX2423 | TEU Running | 380
2027 | 2027 | AB8377 | EXK Waiting | 96
2123 | 2123 | AB8377 | EXK Running | 173
2139 | 2139 | TI3961 | FSQ Waiting | 492
2296 | 2296 | AB8377 | EXK Waiting | 15
2311 | 2311 | AB8377 | EXK Running | 259
2368 | 2368 | WX2423 | TEU Waiting | 85
2453 | 2453 | WX2423 | TEU Running | 388
2570 | 2570 | AB8377 | LTDH Running | 62
2600 | 2600 | AB8377 | LTDH Running | 32
2630 | 2630 | AB8377 | LTDH Running | 2
2631 | 2631 | TI3961 | FSQ Running | 244
2632 | 2632 | AB8377 | LTDH Waiting | 473
2841 | 2841 | WX2423 | LTDH Running | 413
2871 | 2871 | WX2423 | LTDH Running | 383
2875 | 2875 | TI3961 | FSQ Waiting | 44
2901 | 2901 | WX2423 | LTDH Running | 353
2919 | 2919 | TI3961 | FSQ Running | 176
2931 | 2931 | WX2423 | LTDH Running | 323
2961 | 2961 | WX2423 | LTDH Running | 293
2991 | 2991 | WX2423 | LTDH Running | 263
3021 | 3021 | WX2423 | LTDH Running | 233
3051 | 3051 | WX2423 | LTDH Running | 203
3081 | 3081 | WX2423 | LTDH Running | 173
3095 | 3111 | TI3961 | LTDH Running | 2
3105 | 3113 | AB8377 | LTDH Running | 216
3111 | 3143 | WX2423 | LTDH Running | 143
3113 | 3113 | TI3961 | LTDH Waiting | 146
3143 | 3173 | AB8377 | LTDH Running | 186
3173 | 3203 | WX2423 | LTDH Running | 113
3203 | 3233 | AB8377 | LTDH Running | 156
3233 | 3263 | WX2423 | LTDH Running | 83
3259 | 3293 | TI3961 | LTDH Running | 93
3263 | 3323 | AB8377 | LTDH Running | 126
3293 | 3353 | WX2423 | LTDH Running | 53
3323 | 3383 | TI3961 | LTDH Running | 63
3353 | 3413 | AB8377 | LTDH Running | 96
3383 | 3443 | WX2423 | LTDH Running | 23
3413 | 3466 | TI3961 | LTDH Running | 33
3443 | 3496 | AB8377 | LTDH Running | 66
3466 | 3466 | WX2423 | LTDH Waiting | 241
3496 | 3526 | TI3961 | LTDH Running | 3
3526 | 3529 | AB8377 | LTDH Running | 36
3529 | 3529 | TI3961 | EXK Running | 79
3559 | 3559 | AB8377 | LTDH Running | 6
3565 | 3565 | AB8377 | FSQ Running | 225
3608 | 3608 | TI3961 | EXK Waiting | 196
3707 | 3707 | WX2423 | LTDH Running | 450
3737 | 3737 | WX2423 | LTDH Running | 420
3767 | 3767 | WX2423 | LTDH Running | 390
3790 | 3790 | AB8377 | FSQ Waiting | 50
3797 | 3797 | WX2423 | LTDH Running | 360
3804 | 3804 | TI3961 | EXK Running | 114
3827 | 3827 | WX2423 | LTDH Running | 330
3840 | 3840 | AB8377 | FSQ Running | 364
3857 | 3857 | WX2423 | LTDH Running | 300
3887 | 3887 | WX2423 | LTDH Running | 270
3917 | 3917 | WX2423 | LTDH Running | 240
3918 | 3918 | TI3961 | EXK Waiting | 397
3947 | 3947 | WX2423 | LTDH Running | 210
3977 | 3977 | WX2423 | LTDH Running | 180
4007 | 4007 | WX2423 | LTDH Running | 150
4037 | 4037 | WX2423 | LTDH Running | 120
4067 | 4067 | WX2423 | LTDH Running | 90
4097 | 4097 | WX2423 | LTDH Running | 60
4127 | 4127 | WX2423 | LTDH Running | 30
4157 | 4157 | WX2423 | EXK Running | 71
4204 | 4204 | AB8377 | FSQ Waiting | 13
4217 | 4217 | AB8377 | FSQ Running | 442
4228 | 4228 | WX2423 | EXK Waiting | 40
4268 | 4268 | WX2423 | EXK Running | 264
4315 | 4532 | TI3961 | EXK Running | 209
4532 | 4532 | WX2423 | EXK Waiting | 40
4572 | 4741 | WX2423 | EXK Running | 288
4659 | 4659 | AB8377 | FSQ Waiting | 264
4741 | 4741 | TI3961 | EXK Waiting | 148
4889 | 5029 | TI3961 | EXK Running | 344
4923 | 4923 | AB8377 | FSQ Running | 473
5029 | 5029 | WX2423 | EXK Waiting | 152
5181 | 5373 | WX2423 | EXK Running | 327
5373 | 5373 | TI3961 | LTDH Running | 345
5396 | 5403 | AB8377 | LTDH Running | 298
5403 | 5433 | TI3961 | LTDH Running | 315
5433 | 5463 | AB8377 | LTDH Running | 268
5463 | 5493 | TI3961 | LTDH Running | 285
5493 | 5523 | AB8377 | LTDH Running | 238
5523 | 5553 | TI3961 | LTDH Running | 255
5553 | 5583 | AB8377 | LTDH Running | 208
5583 | 5613 | TI3961 | LTDH Running | 225
5613 | 5643 | AB8377 | LTDH Running | 178
5643 | 5673 | TI3961 | LTDH Running | 195
5673 | 5703 | AB8377 | LTDH Running | 148
5700 | 5733 | WX2423 | LTDH Running | 12
5703 | 5745 | TI3961 | LTDH Running | 165
5733 | 5775 | AB8377 | LTDH Running | 118
5745 | 5745 | WX2423 | Finished | 0
5775 | 5805 | TI3961 | LTDH Running | 135
5805 | 5835 | AB8377 | LTDH Running | 88
5835 | 5865 | TI3961 | LTDH Running | 105
5865 | 5895 | AB8377 | LTDH Running | 58
5895 | 5925 | TI3961 | LTDH Running | 75
5925 | 5955 | AB8377 | LTDH Running | 28
5955 | 5983 | TI3961 | LTDH Running | 45
5983 | 5983 | AB8377 | Finished | 0
6013 | 6013 | TI3961 | LTDH Running | 15
6028 | 6028 | TI3961 | Finished | 0
