4 | 4 | WR2564 | PVUW Running | 96
34 | 34 | WR2564 | PVUW Running | 66
64 | 64 | WR2564 | PVUW Running | 36
73 | 94 | SB8199 | PVUW Running | 111
74 | 74 | MZ3942 | FHTG Running | 455
94 | 124 | WR2564 | PVUW Running | 6
104 | 104 | MZ3942 | FHTG Running | 425
118 | 134 | RC8827 | FHTG Running | 143
124 | 130 | SB8199 | PVUW Running | 81
130 | 130 | WR2564 | PVUW Waiting | 62
134 | 164 | MZ3942 | FHTG Running | 395
160 | 160 | SB8199 | PVUW Running | 51
164 | 194 | RC8827 | FHTG Running | 113
190 | 190 | SB8199 | PVUW Running | 21
192 | 211 | WR2564 | PVUW Running | 127
194 | 224 | MZ3942 | FHTG Running | 365
211 | 211 | SB8199 | PVUW Waiting | 166
224 | 254 | RC8827 | FHTG Running | 83
241 | 241 | WR2564 | PVUW Running | 97
254 | 284 | MZ3942 | FHTG Running | 335
271 | 271 | WR2564 | PVUW Running | 67
284 | 314 | RC8827 | FHTG Running | 53
301 | 301 | WR2564 | PVUW Running | 37
314 | 344 | MZ3942 | FHTG Running | 305
331 | 331 | WR2564 | PVUW Running | 7
338 | 338 | WR2564 | QBC Running | 236
344 | 374 | RC8827 | FHTG Running | 23
374 | 397 | MZ3942 | FHTG Running | 275
377 | 377 | SB8199 | PVUW Running | 494
397 | 397 | RC8827 | FHTG Waiting | 77
407 | 407 | SB8199 | PVUW Running | 464
427 | 427 | MZ3942 | FHTG Running | 245
437 | 437 | SB8199 | PVUW Running | 434
457 | 457 | MZ3942 | FHTG Running | 215
467 | 467 | SB8199 | PVUW Running | 404
474 | 487 | RC8827 | FHTG Running | 447
487 | 517 | MZ3942 | FHTG Running | 185
497 | 497 | SB8199 | PVUW Running | 374
517 | 547 | RC8827 | FHTG Running | 417
527 | 527 | SB8199 | PVUW Running | 344
547 | 577 | MZ3942 | FHTG Running | 155
557 | 557 | SB8199 | PVUW Running | 314
574 | 574 | WR2564 | QBC Waiting | 471
577 | 607 | RC8827 | FHTG Running | 387
587 | 587 | SB8199 | PVUW Running | 284
607 | 637 | MZ3942 | FHTG Running | 125
617 | 617 | SB8199 | PVUW Running | 254
637 | 667 | RC8827 | FHTG Running | 357
647 | 647 | SB8199 | PVUW Running | 224
667 | 697 | MZ3942 | FHTG Running | 95
677 | 677 | SB8199 | PVUW Running | 194
697 | 727 | RC8827 | FHTG Running | 327
707 | 707 | SB8199 | PVUW Running | 164
727 | 757 | MZ3942 | FHTG Running | 65
737 | 737 | SB8199 | PVUW Running | 134
757 | 787 | RC8827 | FHTG Running | 297
767 | 767 | SB8199 | PVUW Running | 104
787 | 817 | MZ3942 | FHTG Running | 35
797 | 797 | SB8199 | PVUW Running | 74
817 | 847 | RC8827 | FHTG Running | 267
827 | 827 | SB8199 | PVUW Running | 44
847 | 877 | MZ3942 | FHTG Running | 5
857 | 857 | SB8199 | PVUW Running | 14
871 | 871 | SB8199 | QCL Running | 294
877 | 882 | RC8827 | FHTG Running | 237
882 | 882 | MZ3942 | FHTG Waiting | 109
912 | 912 | RC8827 | FHTG Running | 207
942 | 942 | RC8827 | FHTG Running | 177
972 | 972 | RC8827 | FHTG Running | 147
991 | 1002 | MZ3942 | FHTG Running | 427
1002 | 1032 | RC8827 | FHTG Running | 117
1032 | 1062 | MZ3942 | FHTG Running | 397
1045 | 1045 | WR2564 | QBC Running | 65
1062 | 1092 | RC8827 | FHTG Running | 87
1092 | 1122 | MZ3942 | FHTG Running | 367
1110 | 1110 | WR2564 | QBC Waiting | 20
1122 | 1152 | RC8827 | FHTG Running | 57
1130 | 1130 | WR2564 | QBC Running | 344
1152 | 1182 | MZ3942 | FHTG Running | 337
1165 | 1165 | SB8199 | QCL Waiting | 469
1182 | 1212 | RC8827 | FHTG Running | 27
1212 | 1239 | MZ3942 | FHTG Running | 307
1239 | 1239 | RC8827 | JXQ Running | 316
1269 | 1269 | MZ3942 | FHTG Running | 277
1299 | 1299 | MZ3942 | FHTG Running | 247
1329 | 1329 | MZ3942 | FHTG Running | 217
1359 | 1359 | MZ3942 | FHTG Running | 187
1389 | 1389 | MZ3942 | FHTG Running | 157
1419 | 1419 | MZ3942 | FHTG Running | 127
1449 | 1449 | MZ3942 | FHTG Running | 97
1474 | 1474 | WR2564 | QBC Waiting | 391
1479 | 1479 | MZ3942 | FHTG Running | 67
1509 | 1509 | MZ3942 | FHTG Running | 37
1539 | 1539 | MZ3942 | FHTG Running | 7
1546 | 1546 | MZ3942 | DRT Running | 453
1555 | 1555 | RC8827 | JXQ Waiting | 249
1634 | 1634 | SB8199 | QCL Running | 159
1793 | 1793 | SB8199 | QCL Waiting | 306
1804 | 1804 | RC8827 | JXQ Running | 6
1810 | 1810 | RC8827 | JXQ Waiting | 53
1863 | 1863 | RC8827 | JXQ Running | 36
1865 | 1865 | WR2564 | QBC Running | 271
1899 | 1899 | RC8827 | JXQ Waiting | 75
1974 | 1974 | RC8827 | JXQ Running | 162
1999 | 1999 | MZ3942 | DRT Waiting | 153
2099 | 2099 | SB8199 | QCL Running | 255
2136 | 2136 | RC8827 | FHTG Running | 131
2136 | 2136 | WR2564 | PVUW Running | 67
2152 | 2152 | MZ3942 | DRT Running | 172
2166 | 2166 | RC8827 | FHTG Running | 101
2166 | 2166 | WR2564 | PVUW Running | 37
2196 | 2196 | RC8827 | FHTG Running | 71
2196 | 2196 | WR2564 | PVUW Running | 7
