42 | 42 | NR2236 | IJSM Running | 217
72 | 72 | NR2236 | IJSM Running | 187
102 | 102 | NR2236 | IJSM Running | 157
103 | 103 | VQ3814 | QOUU Running | 374
104 | 133 | LA6163 | QOUU Running | 205
132 | 132 | NR2236 | IJSM Running | 127
133 | 163 | VQ3814 | QOUU Running | 344
148 | 148 | NP7136 | ISBC Running | 333
162 | 162 | NR2236 | IJSM Running | 97
163 | 193 | LA6163 | QOUU Running | 175
178 | 178 | NP7136 | ISBC Running | 303
187 | 223 | HS5200 | QOUU Running | 196
190 | 253 | KN3596 | QOUU Running | 95
192 | 192 | NR2236 | IJSM Running | 67
193 | 283 | VQ3814 | QOUU Running | 314
208 | 208 | NP7136 | ISBC Running | 273
222 | 222 | GR6984 | IJSM Running | 222
222 | 252 | NR2236 | IJSM Running | 37
223 | 313 | LA6163 | QOUU Running | 145
238 | 238 | NP7136 | ISBC Running | 243
252 | 282 | GR6984 | IJSM Running | 192
253 | 343 | HS5200 | QOUU Running | 166
267 | 312 | MS3124 | IJSM Running | 404
268 | 373 | TA8105 | QOUU Running | 500
268 | 268 | NP7136 | ISBC Running | 213
269 | 342 | BV4449 | IJSM Running | 268
282 | 372 | NR2236 | IJSM Running | 7
283 | 403 | KN3596 | QOUU Running | 65
298 | 298 | NP7136 | ISBC Running | 183
312 | 379 | GR6984 | IJSM Running | 162
313 | 433 | VQ3814 | QOUU Running | 284
328 | 328 | NP7136 | ISBC Running | 153
342 | 409 | MS3124 | IJSM Running | 374
343 | 463 | LA6163 | QOUU Running | 115
358 | 358 | NP7136 | ISBC Running | 123
372 | 439 | BV4449 | IJSM Running | 238
373 | 493 | HS5200 | QOUU Running | 136
379 | 379 | NR2236 | IJSM Waiting | 19
388 | 388 | NP7136 | ISBC Running | 93
398 | 469 | NR2236 | IJSM Running | 216
403 | 523 | TA8105 | QOUU Running | 470
409 | 499 | GR6984 | IJSM Running | 132
418 | 418 | NP7136 | ISBC Running | 63
433 | 553 | KN3596 | QOUU Running | 35
439 | 529 | MS3124 | IJSM Running | 344
448 | 448 | NP7136 | ISBC Running | 33
463 | 583 | VQ3814 | QOUU Running | 254
469 | 559 | BV4449 | IJSM Running | 208
478 | 478 | NP7136 | ISBC Running | 3
481 | 481 | NP7136 | ISBC Waiting | 466
493 | 613 | LA6163 | QOUU Running | 85
499 | 589 | NR2236 | IJSM Running | 186
523 | 643 | HS5200 | QOUU Running | 106
529 | 619 | GR6984 | IJSM Running | 102
553 | 673 | TA8105 | QOUU Running | 440
559 | 649 | MS3124 | IJSM Running | 314
583 | 703 | KN3596 | QOUU Running | 5
589 | 679 | BV4449 | IJSM Running | 178
613 | 708 | VQ3814 | QOUU Running | 224
619 | 709 | NR2236 | IJSM Running | 156
643 | 738 | LA6163 | QOUU Running | 55
649 | 739 | GR6984 | IJSM Running | 72
673 | 768 | HS5200 | QOUU Running | 76
679 | 769 | MS3124 | IJSM Running | 284
703 | 798 | TA8105 | QOUU Running | 410
708 | 708 | KN3596 | QOUU Waiting | 183
709 | 799 | BV4449 | IJSM Running | 148
738 | 828 | VQ3814 | QOUU Running | 194
739 | 829 | NR2236 | IJSM Running | 126
768 | 858 | LA6163 | QOUU Running | 25
769 | 859 | GR6984 | IJSM Running | 42
798 | 883 | HS5200 | QOUU Running | 46
799 | 889 | MS3124 | IJSM Running | 254
828 | 913 | TA8105 | QOUU Running | 380
829 | 919 | BV4449 | IJSM Running | 118
858 | 943 | VQ3814 | QOUU Running | 164
859 | 949 | NR2236 | IJSM Running | 96
883 | 883 | LA6163 | QOUU Waiting | 61
889 | 979 | GR6984 | IJSM Running | 12
891 | 973 | KN3596 | QOUU Running | 132
913 | 1003 | HS5200 | QOUU Running | 16
919 | 991 | MS3124 | IJSM Running | 224
943 | 1019 | TA8105 | QOUU Running | 350
944 | 1049 | LA6163 | QOUU Running | 205
947 | 947 | NP7136 | ISBC Running | 372
949 | 1021 | BV4449 | IJSM Running | 88
973 | 1079 | VQ3814 | QOUU Running | 134
977 | 977 | NP7136 | ISBC Running | 342
979 | 1051 | NR2236 | IJSM Running | 66
991 | 991 | GR6984 | IJSM Waiting | 205
