21 | 21 | GU2322 | RQYP Running | 457
46 | 46 | SI5540 | IOOQ Running | 2
48 | 48 | SI5540 | IOOQ Waiting | 413
51 | 51 | GU2322 | RQYP Running | 427
60 | 60 | HH5200 | KCUE Running | 118
81 | 81 | GU2322 | RQYP Running | 397
90 | 90 | HH5200 | KCUE Running | 88
93 | 120 | MP5810 | KCUE Running | 179
106 | 150 | ZU5938 | KCUE Running | 327
111 | 111 | GU2322 | RQYP Running | 367
117 | 117 | WC5441 | IOOQ Running | 261
120 | 180 | HH5200 | KCUE Running | 58
141 | 141 | GU2322 | RQYP Running | 337
147 | 147 | WC5441 | IOOQ Running | 231
150 | 210 | MP5810 | KCUE Running | 149
171 | 171 | GU2322 | RQYP Running | 307
177 | 177 | CV9815 | IOOQ Running | 188
177 | 207 | WC5441 | IOOQ Running | 201
180 | 240 | ZU5938 | KCUE Running | 297
201 | 201 | GU2322 | RQYP Running | 277
203 | 270 | NL7343 | KCUE Running | 364
207 | 237 | CV9815 | IOOQ Running | 158
210 | 300 | XL2603 | KCUE Running | 285
210 | 330 | HH5200 | KCUE Running | 28
219 | 219 | XU7199 | ERKB Running | 223
222 | 267 | LR3134 | IOOQ Running | 346
231 | 231 | GU2322 | RQYP Running | 247
237 | 297 | WC5441 | IOOQ Running | 171
240 | 358 | MP5810 | KCUE Running | 119
249 | 249 | XU7199 | ERKB Running | 193
250 | 261 | CK2402 | RQYP Running | 33
261 | 291 | GU2322 | RQYP Running | 217
267 | 327 | CV9815 | IOOQ Running | 128
270 | 388 | ZU5938 | KCUE Running | 267
272 | 357 | AD3718 | IOOQ Running | 314
279 | 279 | XU7199 | ERKB Running | 163
284 | 387 | TJ3648 | IOOQ Running | 160
291 | 321 | CK2402 | RQYP Running | 3
297 | 417 | LR3134 | IOOQ Running | 316
300 | 418 | NL7343 | KCUE Running | 334
309 | 309 | XU7199 | ERKB Running | 133
321 | 324 | GU2322 | RQYP Running | 187
324 | 324 | CK2402 | RQYP Waiting | 241
327 | 447 | WC5441 | IOOQ Running | 141
330 | 448 | XL2603 | KCUE Running | 255
337 | 339 | XV8633 | ERKB Running | 280
339 | 369 | XU7199 | ERKB Running | 103
354 | 354 | GU2322 | RQYP Running | 157
357 | 477 | CV9815 | IOOQ Running | 98
358 | 358 | HH5200 | KCUE Waiting | 121
362 | 384 | TG5438 | RQYP Running | 264
369 | 399 | XV8633 | ERKB Running | 250
383 | 429 | RP7698 | ERKB Running | 117
384 | 414 | GU2322 | RQYP Running | 127
387 | 507 | AD3718 | IOOQ Running | 284
388 | 478 | MP5810 | KCUE Running | 89
390 | 508 | GB5475 | KCUE Running | 478
399 | 459 | XU7199 | ERKB Running | 73
414 | 444 | TG5438 | RQYP Running | 234
417 | 537 | TJ3648 | IOOQ Running | 130
418 | 538 | ZU5938 | KCUE Running | 237
429 | 489 | XV8633 | ERKB Running | 220
432 | 567 | XT6977 | IOOQ Running | 462
