26 | 26 | XZ3312 | TIDV Running | 387
42 | 56 | AQ4705 | TIDV Running | 308
48 | 48 | UV6984 | JVVK Running | 90
56 | 86 | XZ3312 | TIDV Running | 357
78 | 78 | UV6984 | JVVK Running | 60
86 | 116 | AQ4705 | TIDV Running | 278
108 | 108 | UV6984 | JVVK Running | 30
116 | 146 | XZ3312 | TIDV Running | 327
117 | 117 | DV4581 | VDRA Running | 484
138 | 138 | UV6984 | JVVK Waiting | 483
146 | 176 | AQ4705 | TIDV Running | 248
147 | 147 | DV4581 | VDRA Running | 454
176 | 206 | XZ3312 | TIDV Running | 297
177 | 177 | DV4581 | VDRA Running | 424
202 | 202 | RR3020 | BRKX Running | 342
206 | 236 | AQ4705 | TIDV Running | 218
207 | 207 | DV4581 | VDRA Running | 394
216 | 266 | XY6882 | TIDV Running | 288
232 | 232 | RR3020 | BRKX Running | 312
235 | 296 | XC5345 | TIDV Running | 263
236 | 262 | PL7648 | BRKX Running | 47
236 | 326 | XZ3312 | TIDV Running | 267
237 | 237 | DV4581 | VDRA Running | 364
262 | 292 | RR3020 | BRKX Running | 282
264 | 267 | VZ8618 | VDRA Running | 255
266 | 356 | AQ4705 | TIDV Running | 188
267 | 297 | DV4581 | VDRA Running | 334
272 | 272 | TN1344 | JVVK Running | 74
292 | 322 | PL7648 | BRKX Running | 17
296 | 386 | XY6882 | TIDV Running | 258
297 | 327 | VZ8618 | VDRA Running | 225
299 | 339 | UK1061 | BRKX Running | 47
302 | 302 | TN1344 | JVVK Running | 44
322 | 369 | RR3020 | BRKX Running | 252
326 | 416 | XC5345 | TIDV Running | 233
327 | 357 | DV4581 | VDRA Running | 304
332 | 332 | TN1344 | JVVK Running | 14
339 | 339 | PL7648 | BRKX Waiting | 322
346 | 346 | TN1344 | JVVK Waiting | 216
356 | 446 | XZ3312 | TIDV Running | 237
357 | 387 | VZ8618 | VDRA Running | 195
369 | 399 | UK1061 | BRKX Running | 17
374 | 476 | XV3175 | TIDV Running | 464
386 | 506 | AQ4705 | TIDV Running | 158
387 | 417 | DV4581 | VDRA Running | 274
399 | 416 | RR3020 | BRKX Running | 222
416 | 416 | UK1061 | BRKX Waiting | 99
416 | 536 | XY6882 | TIDV Running | 228
417 | 447 | VZ8618 | VDRA Running | 165
446 | 446 | RR3020 | BRKX Running | 192
446 | 566 | XC5345 | TIDV Running | 203
447 | 447 | IQ7031 | JVVK Running | 136
447 | 477 | DV4581 | VDRA Running | 244
453 | 476 | MX2096 | BRKX Running | 127
460 | 507 | GI7962 | VDRA Running | 280
476 | 506 | RR3020 | BRKX Running | 162
476 | 596 | XZ3312 | TIDV Running | 207
477 | 477 | IQ7031 | JVVK Running | 106
477 | 537 | VZ8618 | VDRA Running | 135
501 | 536 | FQ3188 | BRKX Running | 241
504 | 626 | WM2834 | TIDV Running | 390
506 | 566 | MX2096 | BRKX Running | 97
506 | 656 | XV3175 | TIDV Running | 434
507 | 567 | DV4581 | VDRA Running | 214
507 | 507 | IQ7031 | JVVK Running | 76
515 | 596 | UK1061 | BRKX Running | 389
531 | 597 | HM9636 | VDRA Running | 427
536 | 686 | AQ4705 | TIDV Running | 128
536 | 626 | RR3020 | BRKX Running | 132
537 | 627 | GI7962 | VDRA Running | 250
537 | 537 | IQ7031 | JVVK Running | 46
545 | 567 | EB6673 | JVVK Running | 437
557 | 657 | GJ2282 | VDRA Running | 346
562 | 597 | TN1344 | JVVK Running | 42
566 | 656 | FQ3188 | BRKX Running | 211
566 | 716 | XY6882 | TIDV Running | 198
567 | 627 | IQ7031 | JVVK Running | 16
567 | 687 | VZ8618 | VDRA Running | 105
596 | 686 | MX2096 | BRKX Running | 67
596 | 746 | XC5345 | TIDV Running | 173
597 | 717 | DV4581 | VDRA Running | 184
597 | 643 | EB6673 | JVVK Running | 407
621 | 673 | UV6984 | JVVK Running | 81
626 | 716 | UK1061 | BRKX Running | 359
626 | 776 | XZ3312 | TIDV Running | 177
627 | 747 | HM9636 | VDRA Running | 397
627 | 703 | TN1344 | JVVK Running | 12
643 | 643 | IQ7031 | JVVK Waiting | 155
656 | 746 | RR3020 | BRKX Running | 102
656 | 806 | WM2834 | TIDV Running | 360
657 | 777 | GI7962 | VDRA Running | 220
661 | 776 | PL7648 | BRKX Running | 176
673 | 715 | EB6673 | JVVK Running | 377
686 | 806 | FQ3188 | BRKX Running | 181
686 | 836 | XV3175 | TIDV Running | 404
687 | 807 | GJ2282 | VDRA Running | 316
703 | 745 | UV6984 | JVVK Running | 51
715 | 715 | TN1344 | OTM Running | 389
716 | 866 | AQ4705 | TIDV Running | 98
716 | 836 | MX2096 | BRKX Running | 37
717 | 837 | VZ8618 | VDRA Running | 75
745 | 775 | EB6673 | JVVK Running | 347
746 | 866 | UK1061 | BRKX Running | 329
746 | 896 | XY6882 | TIDV Running | 168
747 | 867 | DV4581 | VDRA Running | 154
775 | 805 | UV6984 | JVVK Running | 21
776 | 896 | RR3020 | BRKX Running | 72
776 | 926 | XC5345 | TIDV Running | 143
777 | 897 | HM9636 | VDRA Running | 367
798 | 826 | IQ7031 | JVVK Running | 32
805 | 856 | EB6673 | JVVK Running | 317
806 | 926 | PL7648 | BRKX Running | 146
806 | 956 | XZ3312 | TIDV Running | 147
807 | 927 | GI7962 | VDRA Running | 190
826 | 1104 | UV6984 | OTM Running | 429
836 | 956 | FQ3188 | BRKX Running | 151
836 | 986 | WM2834 | TIDV Running | 330
837 | 957 | GJ2282 | VDRA Running | 286
856 | 886 | IQ7031 | JVVK Running | 2
866 | 986 | MX2096 | BRKX Running | 7
866 | 1016 | XV3175 | TIDV Running | 374
867 | 987 | VZ8618 | VDRA Running | 45
886 | 888 | EB6673 | JVVK Running | 287
888 | 888 | IQ7031 | SCA Running | 254
896 | 1046 | AQ4705 | TIDV Running | 68
896 | 993 | UK1061 | BRKX Running | 299
897 | 1017 | DV4581 | VDRA Running | 124
918 | 918 | EB6673 | JVVK Running | 257
926 | 1023 | RR3020 | BRKX Running | 42
926 | 1076 | XY6882 | TIDV Running | 138
927 | 1047 | HM9636 | VDRA Running | 337
948 | 948 | EB6673 | JVVK Running | 227
956 | 1053 | PL7648 | BRKX Running | 116
956 | 1106 | XC5345 | TIDV Running | 113
957 | 1077 | GI7962 | VDRA Running | 160
978 | 978 | EB6673 | JVVK Running | 197
986 | 1083 | FQ3188 | BRKX Running | 121
986 | 1136 | XZ3312 | TIDV Running | 117
987 | 1107 | GJ2282 | VDRA Running | 256
993 | 993 | MX2096 | BRKX Waiting | 385
1008 | 1008 | EB6673 | JVVK Running | 167
1016 | 1166 | WM2834 | TIDV Running | 300
1017 | 1137 | VZ8618 | VDRA Running | 15
1023 | 1113 | UK1061 | BRKX Running | 269
1038 | 1038 | EB6673 | JVVK Running | 137
1046 | 1196 | XV3175 | TIDV Running | 344
1047 | 1152 | DV4581 | VDRA Running | 94
1053 | 1143 | RR3020 | BRKX Running | 12
1068 | 1068 | EB6673 | JVVK Running | 107
1076 | 1226 | AQ4705 | TIDV Running | 38
1077 | 1182 | HM9636 | VDRA Running | 307
1083 | 1155 | PL7648 | BRKX Running | 86
1098 | 1098 | EB6673 | JVVK Running | 77
1104 | 1104 | TN1344 | OTM Waiting | 216
1106 | 1256 | XY6882 | TIDV Running | 108
1107 | 1212 | GI7962 | VDRA Running | 130
1113 | 1185 | FQ3188 | BRKX Running | 91
1128 | 1128 | EB6673 | JVVK Running | 47
1136 | 1286 | XC5345 | TIDV Running | 83
1137 | 1242 | GJ2282 | VDRA Running | 226
1142 | 1142 | IQ7031 | SCA Waiting | 419
1143 | 1215 | UK1061 | BRKX Running | 239
1152 | 1152 | VZ8618 | VDRA Waiting | 275
1155 | 1155 | RR3020 | BRKX Waiting | 312
1158 | 1158 | EB6673 | JVVK Running | 17
1166 | 1316 | XZ3312 | TIDV Running | 87
1175 | 1175 | EB6673 | JVVK Waiting | 183
1182 | 1272 | DV4581 | VDRA Running | 64
1185 | 1245 | PL7648 | BRKX Running | 56
1196 | 1346 | WM2834 | TIDV Running | 270
1212 | 1302 | HM9636 | VDRA Running | 277
1215 | 1275 | FQ3188 | BRKX Running | 61
1226 | 1376 | XV3175 | TIDV Running | 314
1242 | 1332 | GI7962 | VDRA Running | 100
1245 | 1305 | UK1061 | BRKX Running | 209
1256 | 1406 | AQ4705 | TIDV Running | 8
1272 | 1362 | GJ2282 | VDRA Running | 196
1275 | 1335 | PL7648 | BRKX Running | 26
1286 | 1414 | XY6882 | TIDV Running | 78
1302 | 1392 | DV4581 | VDRA Running | 34
1305 | 1361 | FQ3188 | BRKX Running | 31
1316 | 1444 | XC5345 | TIDV Running | 53
1320 | 1533 | TN1344 | OTM Running | 319
1332 | 1422 | HM9636 | VDRA Running | 247
1335 | 1391 | UK1061 | BRKX Running | 179
1346 | 1474 | XZ3312 | TIDV Running | 57
1358 | 1358 | EB6673 | JVVK Running | 326
1361 | 1361 | PL7648 | PBE Running | 320
1362 | 1452 | GI7962 | VDRA Running | 70
1376 | 1504 | WM2834 | TIDV Running | 240
1378 | 1421 | MX2096 | BRKX Running | 322
1388 | 1388 | EB6673 | JVVK Running | 296
1391 | 1451 | FQ3188 | BRKX Running | 1
1392 | 1482 | GJ2282 | VDRA Running | 166
1406 | 1534 | XV3175 | TIDV Running | 284
1414 | 1414 | AQ4705 | TIDV Waiting | 320
1418 | 1418 | EB6673 | JVVK Running | 266
1421 | 1452 | UK1061 | BRKX Running | 149
1422 | 1512 | DV4581 | VDRA Running | 4
1427 | 1516 | VZ8618 | VDRA Running | 83
1444 | 1564 | XY6882 | TIDV Running | 48
1448 | 1448 | EB6673 | JVVK Running | 236
1451 | 1482 | MX2096 | BRKX Running | 292
1452 | 1452 | FQ3188 | BRKX Waiting | 442
1452 | 1546 | HM9636 | VDRA Running | 217
1467 | 1512 | RR3020 | BRKX Running | 174
1474 | 1594 | XC5345 | TIDV Running | 23
1478 | 1478 | EB6673 | JVVK Running | 206
1482 | 1576 | GI7962 | VDRA Running | 40
1482 | 1542 | UK1061 | BRKX Running | 119
1504 | 1617 | XZ3312 | TIDV Running | 27
1508 | 1508 | EB6673 | JVVK Running | 176
1512 | 1606 | GJ2282 | VDRA Running | 136
1512 | 1572 | MX2096 | BRKX Running | 262
1516 | 1516 | DV4581 | VDRA Waiting | 318
