4 | 4 | SB6237 | GAOO Running | 337
34 | 34 | SB6237 | GAOO Running | 307
41 | 41 | JI3242 | QUVC Running | 63
59 | 71 | FT6424 | QUVC Running | 373
64 | 64 | SB6237 | GAOO Running | 277
71 | 101 | JI3242 | QUVC Running | 33
80 | 80 | PQ7150 | NPRF Running | 162
94 | 94 | SB6237 | GAOO Running | 247
101 | 131 | FT6424 | QUVC Running | 343
110 | 110 | PQ7150 | NPRF Running | 132
124 | 124 | SB6237 | GAOO Running | 217
131 | 161 | JI3242 | QUVC Running | 3
140 | 140 | PQ7150 | NPRF Running | 102
154 | 154 | SB6237 | GAOO Running | 187
158 | 184 | ZO8811 | GAOO Running | 232
161 | 164 | FT6424 | QUVC Running | 313
164 | 164 | JI3242 | QUVC Waiting | 84
170 | 170 | PQ7150 | NPRF Running | 72
184 | 214 | SB6237 | GAOO Running | 157
194 | 194 | FT6424 | QUVC Running | 283
200 | 200 | PQ7150 | NPRF Running | 42
214 | 244 | ZO8811 | GAOO Running | 202
220 | 224 | DK8977 | QUVC Running | 309
224 | 254 | FT6424 | QUVC Running | 253
230 | 230 | PQ7150 | NPRF Running | 12
240 | 284 | GX8719 | QUVC Running | 115
242 | 242 | PQ7150 | NPRF Waiting | 292
244 | 274 | SB6237 | GAOO Running | 127
247 | 314 | YT4676 | QUVC Running | 247
248 | 344 | JI3242 | QUVC Running | 423
254 | 374 | DK8977 | QUVC Running | 279
258 | 258 | JT9188 | NPRF Running | 349
274 | 304 | ZO8811 | GAOO Running | 172
278 | 334 | VV2012 | GAOO Running | 305
284 | 404 | FT6424 | QUVC Running | 223
285 | 285 | BZ4125 | AUQI Running | 13
288 | 288 | JT9188 | NPRF Running | 319
298 | 298 | BZ4125 | AUQI Waiting | 62
304 | 364 | SB6237 | GAOO Running | 97
314 | 434 | GX8719 | QUVC Running | 85
318 | 318 | JT9188 | NPRF Running | 289
334 | 394 | ZO8811 | GAOO Running | 142
344 | 464 | YT4676 | QUVC Running | 217
348 | 348 | JT9188 | NPRF Running | 259
360 | 360 | BZ4125 | AUQI Running | 117
364 | 424 | VV2012 | GAOO Running | 275
372 | 494 | CO8265 | QUVC Running | 409
374 | 524 | JI3242 | QUVC Running | 393
378 | 378 | JT9188 | NPRF Running | 229
384 | 554 | WI9492 | QUVC Running | 333
390 | 390 | BZ4125 | AUQI Running | 87
394 | 454 | SB6237 | GAOO Running | 67
404 | 584 | DK8977 | QUVC Running | 249
408 | 408 | JT9188 | NPRF Running | 199
420 | 420 | BZ4125 | AUQI Running | 57
424 | 484 | ZO8811 | GAOO Running | 112
434 | 614 | FT6424 | QUVC Running | 193
438 | 438 | JT9188 | NPRF Running | 169
450 | 450 | BZ4125 | AUQI Running | 27
451 | 644 | BV5379 | QUVC Running | 136
454 | 514 | VV2012 | GAOO Running | 245
457 | 674 | SN9875 | QUVC Running | 70
464 | 704 | GX8719 | QUVC Running | 55
468 | 468 | JT9188 | NPRF Running | 139
477 | 477 | BZ4125 | SYL Running | 367
484 | 544 | SB6237 | GAOO Running | 37
488 | 498 | ZS4171 | NPRF Running | 74
494 | 734 | YT4676 | QUVC Running | 187
498 | 528 | JT9188 | NPRF Running | 109
504 | 764 | UC2715 | QUVC Running | 485
512 | 558 | VR9975 | NPRF Running | 222
514 | 574 | ZO8811 | GAOO Running | 82
524 | 794 | CO8265 | QUVC Running | 379
528 | 528 | WB9472 | AUQI Running | 418
528 | 588 | ZS4171 | NPRF Running | 44
532 | 618 | JH7378 | NPRF Running | 99
534 | 648 | PQ7150 | NPRF Running | 96
544 | 604 | VV2012 | GAOO Running | 215
554 | 824 | JI3242 | QUVC Running | 363
558 | 678 | JT9188 | NPRF Running | 79
558 | 558 | WB9472 | AUQI Running | 388
574 | 634 | SB6237 | GAOO Running | 7
584 | 854 | WI9492 | QUVC Running | 303
588 | 708 | VR9975 | NPRF Running | 192
588 | 588 | WB9472 | AUQI Running | 358
604 | 641 | ZO8811 | GAOO Running | 52
614 | 884 | DK8977 | QUVC Running | 219
618 | 618 | WB9472 | AUQI Running | 328
618 | 738 | ZS4171 | NPRF Running | 14
634 | 671 | VV2012 | GAOO Running | 185
641 | 641 | SB6237 | GAOO Waiting | 220
644 | 914 | FT6424 | QUVC Running | 163
648 | 752 | JH7378 | NPRF Running | 69
648 | 648 | WB9472 | AUQI Running | 298
671 | 701 | ZO8811 | GAOO Running | 22
674 | 944 | BV5379 | QUVC Running | 106
678 | 782 | PQ7150 | NPRF Running | 66
678 | 678 | WB9472 | AUQI Running | 268
701 | 723 | VV2012 | GAOO Running | 155
704 | 974 | SN9875 | QUVC Running | 40
708 | 812 | JT9188 | NPRF Running | 49
708 | 708 | WB9472 | AUQI Running | 238
723 | 723 | ZO8811 | GAOO Waiting | 470
734 | 1004 | GX8719 | QUVC Running | 25
738 | 842 | VR9975 | NPRF Running | 162
738 | 738 | WB9472 | AUQI Running | 208
752 | 752 | ZS4171 | NPRF Waiting | 245
753 | 753 | VV2012 | GAOO Running | 125
764 | 1029 | YT4676 | QUVC Running | 157
768 | 768 | WB9472 | AUQI Running | 178
782 | 872 | JH7378 | NPRF Running | 39
783 | 783 | VV2012 | GAOO Running | 95
794 | 1059 | UC2715 | QUVC Running | 455
798 | 798 | WB9472 | AUQI Running | 148
812 | 902 | PQ7150 | NPRF Running | 36
813 | 813 | VV2012 | GAOO Running | 65
824 | 1089 | CO8265 | QUVC Running | 349
828 | 828 | WB9472 | AUQI Running | 118
842 | 932 | JT9188 | NPRF Running | 19
843 | 843 | VV2012 | GAOO Running | 35
844 | 844 | BZ4125 | SYL Waiting | 440
854 | 1119 | JI3242 | QUVC Running | 333
858 | 858 | WB9472 | AUQI Running | 88
861 | 873 | SB6237 | GAOO Running | 85
872 | 951 | VR9975 | NPRF Running | 132
873 | 903 | VV2012 | GAOO Running | 5
884 | 1149 | WI9492 | QUVC Running | 273
888 | 888 | WB9472 | AUQI Running | 58
902 | 981 | JH7378 | NPRF Running | 9
903 | 908 | SB6237 | GAOO Running | 55
908 | 908 | VV2012 | GAOO Waiting | 127
914 | 1179 | DK8977 | QUVC Running | 189
918 | 918 | WB9472 | AUQI Running | 28
932 | 990 | PQ7150 | NPRF Running | 6
938 | 938 | SB6237 | GAOO Running | 25
944 | 1209 | FT6424 | QUVC Running | 133
946 | 946 | WB9472 | AUQI Waiting | 239
951 | 951 | JT9188 | NPRF Waiting | 495
963 | 963 | SB6237 | AGK Running | 253
974 | 1239 | BV5379 | QUVC Running | 76
981 | 996 | VR9975 | NPRF Running | 102
990 | 990 | JH7378 | NPRF Waiting | 108
996 | 996 | PQ7150 | CNO Running | 10
997 | 1026 | ZS4171 | NPRF Running | 161
1004 | 1269 | SN9875 | QUVC Running | 10
1006 | 1006 | PQ7150 | CNO Waiting | 225
1026 | 1056 | VR9975 | NPRF Running | 72
1029 | 1029 | GX8719 | QUVC Waiting | 404
1035 | 1035 | VV2012 | GAOO Running | 141
1056 | 1086 | ZS4171 | NPRF Running | 131
1059 | 1279 | YT4676 | QUVC Running | 127
1065 | 1065 | VV2012 | GAOO Running | 111
1086 | 1116 | VR9975 | NPRF Running | 42
1089 | 1309 | UC2715 | QUVC Running | 425
1095 | 1095 | VV2012 | GAOO Running | 81
1098 | 1146 | JH7378 | NPRF Running | 347
1116 | 1176 | ZS4171 | NPRF Running | 101
1119 | 1339 | CO8265 | QUVC Running | 319
1125 | 1125 | VV2012 | GAOO Running | 51
1146 | 1206 | VR9975 | NPRF Running | 12
1149 | 1369 | JI3242 | QUVC Running | 303
1155 | 1155 | VV2012 | GAOO Running | 21
1176 | 1176 | VV2012 | CSW Running | 221
1176 | 1218 | JH7378 | NPRF Running | 317
1179 | 1399 | WI9492 | QUVC Running | 243
1185 | 1185 | WB9472 | AUQI Running | 41
1193 | 1193 | ZO8811 | GAOO Running | 79
1206 | 1248 | ZS4171 | NPRF Running | 71
1209 | 1429 | DK8977 | QUVC Running | 159
1215 | 1215 | WB9472 | AUQI Running | 11
1216 | 1216 | SB6237 | AGK Waiting | 444
1218 | 1218 | VR9975 | NPRF Waiting | 31
1223 | 1223 | ZO8811 | GAOO Running | 49
1226 | 1226 | WB9472 | FSP Running | 70
1231 | 1231 | PQ7150 | CNO Running | 363
1239 | 1459 | FT6424 | QUVC Running | 103
1248 | 1278 | JH7378 | NPRF Running | 287
1249 | 1308 | VR9975 | NPRF Running | 395
1253 | 1253 | ZO8811 | GAOO Running | 19
1269 | 1489 | BV5379 | QUVC Running | 46
1272 | 1272 | ZO8811 | GQA Running | 401
1278 | 1338 | ZS4171 | NPRF Running | 41
1279 | 1279 | SN9875 | QUVC Waiting | 429
1284 | 1284 | BZ4125 | SYL Running | 111
1296 | 1296 | WB9472 | FSP Waiting | 168
1308 | 1368 | JH7378 | NPRF Running | 257
1309 | 1519 | YT4676 | QUVC Running | 97
1338 | 1398 | VR9975 | NPRF Running | 365
1339 | 1549 | UC2715 | QUVC Running | 395
1368 | 1428 | ZS4171 | NPRF Running | 11
1369 | 1579 | CO8265 | QUVC Running | 289
1395 | 1395 | BZ4125 | SYL Waiting | 314
1397 | 1397 | VV2012 | CSW Waiting | 287
1398 | 1439 | JH7378 | NPRF Running | 227
1399 | 1609 | JI3242 | QUVC Running | 273
1428 | 1469 | VR9975 | NPRF Running | 335
1429 | 1639 | WI9492 | QUVC Running | 213
1433 | 1669 | GX8719 | QUVC Running | 371
1439 | 1594 | ZS4171 | CNO Running | 117
1446 | 1499 | JT9188 | NPRF Running | 19
1459 | 1699 | DK8977 | QUVC Running | 129
1464 | 1464 | WB9472 | FSP Running | 131
1469 | 1518 | JH7378 | NPRF Running | 197
1489 | 1729 | FT6424 | QUVC Running | 73
1499 | 1548 | VR9975 | NPRF Running | 305
1518 | 1518 | JT9188 | GPE Running | 433
1519 | 1759 | BV5379 | QUVC Running | 16
1548 | 1578 | JH7378 | NPRF Running | 167
1549 | 1775 | YT4676 | QUVC Running | 67
1578 | 1608 | VR9975 | NPRF Running | 275
1579 | 1805 | UC2715 | QUVC Running | 365
1594 | 1594 | PQ7150 | CNO Waiting | 40
1595 | 1595 | WB9472 | FSP Waiting | 250
1608 | 1638 | JH7378 | NPRF Running | 137
1609 | 1835 | CO8265 | QUVC Running | 259
1634 | 1711 | PQ7150 | CNO Running | 296
1638 | 1668 | VR9975 | NPRF Running | 245
1639 | 1865 | JI3242 | QUVC Running | 243
1660 | 1660 | SB6237 | AGK Running | 131
1668 | 1698 | JH7378 | NPRF Running | 107
1669 | 1895 | WI9492 | QUVC Running | 183
1673 | 1673 | ZO8811 | GQA Waiting | 58
1684 | 1684 | VV2012 | CSW Running | 0
1684 | 1684 | VV2012 | CSW Waiting | 97
1698 | 1728 | VR9975 | NPRF Running | 215
1699 | 1925 | GX8719 | QUVC Running | 341
1708 | 1955 | SN9875 | QUVC Running | 469
1709 | 1709 | BZ4125 | SYL Running | 435
1711 | 1711 | ZS4171 | CNO Waiting | 149
1728 | 1758 | JH7378 | NPRF Running | 77
1729 | 1985 | DK8977 | QUVC Running | 99
1731 | 1731 | ZO8811 | GQA Running | 439
1758 | 1788 | VR9975 | NPRF Running | 185
1759 | 2015 | FT6424 | QUVC Running | 43
1775 | 1775 | BV5379 | QUVC Waiting | 257
1781 | 1781 | VV2012 | CSW Running | 96
1788 | 1818 | JH7378 | NPRF Running | 47
1791 | 1791 | SB6237 | AGK Waiting | 377
1805 | 2045 | YT4676 | QUVC Running | 37
1818 | 1848 | VR9975 | NPRF Running | 155
1835 | 2075 | UC2715 | QUVC Running | 335
1845 | 1845 | WB9472 | FSP Running | 349
1848 | 1878 | JH7378 | NPRF Running | 17
1860 | 2007 | ZS4171 | CNO Running | 293
1865 | 2105 | CO8265 | QUVC Running | 229
1877 | 1877 | VV2012 | CSW Waiting | 326
1878 | 1895 | VR9975 | NPRF Running | 125
1895 | 1895 | JH7378 | XSL Running | 440
1895 | 2135 | JI3242 | QUVC Running | 213
1925 | 1925 | VR9975 | NPRF Running | 95
1925 | 2165 | WI9492 | QUVC Running | 153
1951 | 1951 | JT9188 | GPE Waiting | 261
1955 | 2195 | GX8719 | QUVC Running | 311
1955 | 1955 | VR9975 | NPRF Running | 65
1985 | 2225 | SN9875 | QUVC Running | 439
1985 | 1985 | VR9975 | NPRF Running | 35
2007 | 2007 | PQ7150 | CNO Waiting | 474
2015 | 2255 | DK8977 | QUVC Running | 69
2015 | 2015 | VR9975 | NPRF Running | 5
2020 | 2020 | VR9975 | GPE Running | 176
2032 | 2285 | BV5379 | QUVC Running | 0
2045 | 2285 | FT6424 | QUVC Running | 13
2075 | 2298 | YT4676 | QUVC Running | 7
2105 | 2305 | UC2715 | QUVC Running | 305
2135 | 2335 | CO8265 | QUVC Running | 199
2144 | 2144 | BZ4125 | SYL Waiting | 375
2165 | 2365 | JI3242 | QUVC Running | 183
2168 | 2168 | SB6237 | AGK Running | 152
2170 | 2170 | ZO8811 | GQA Waiting | 132
2194 | 2194 | WB9472 | FSP Waiting | 368
2195 | 2395 | WI9492 | QUVC Running | 123
2196 | 2196 | VR9975 | GPE Waiting | 95
2203 | 2203 | VV2012 | CSW Running | 201
2212 | 2212 | JT9188 | GPE Running | 309
2225 | 2425 | GX8719 | QUVC Running | 281
2255 | 2455 | SN9875 | QUVC Running | 409
2285 | 2285 | BV5379 | LGU Running | 382
2285 | 2485 | DK8977 | QUVC Running | 39
2291 | 2521 | VR9975 | GPE Running | 336
2298 | 2298 | FT6424 | QUVC Waiting | 50
2300 | 2300 | ZS4171 | CNO Waiting | 268
2302 | 2302 | ZO8811 | GQA Running | 315
2305 | 2305 | YT4676 | QUVC Waiting | 38
2320 | 2320 | SB6237 | AGK Waiting | 167
2335 | 2335 | JH7378 | XSL Waiting | 43
2335 | 2515 | UC2715 | QUVC Running | 275
2343 | 2545 | YT4676 | QUVC Running | 305
2348 | 2575 | FT6424 | QUVC Running | 167
2365 | 2605 | CO8265 | QUVC Running | 169
2378 | 2378 | JH7378 | XSL Running | 68
2395 | 2635 | JI3242 | QUVC Running | 153
2404 | 2404 | VV2012 | GAOO Running | 280
2425 | 2665 | WI9492 | QUVC Running | 93
2434 | 2434 | VV2012 | GAOO Running | 250
2446 | 2446 | JH7378 | XSL Waiting | 404
2455 | 2695 | GX8719 | QUVC Running | 251
2464 | 2464 | VV2012 | GAOO Running | 220
2481 | 2481 | PQ7150 | CNO Running | 253
2485 | 2725 | SN9875 | QUVC Running | 379
2487 | 2487 | SB6237 | AGK Running | 285
2494 | 2494 | VV2012 | GAOO Running | 190
2515 | 2755 | DK8977 | QUVC Running | 9
2519 | 2519 | BZ4125 | SYL Running | 413
2521 | 2521 | JT9188 | GPE Waiting | 70
2524 | 2524 | VV2012 | GAOO Running | 160
2545 | 2764 | UC2715 | QUVC Running | 245
2554 | 2554 | VV2012 | GAOO Running | 130
2562 | 2562 | WB9472 | FSP Running | 47
2568 | 2734 | ZS4171 | CNO Running | 81
2575 | 2794 | YT4676 | QUVC Running | 275
2584 | 2584 | VV2012 | GAOO Running | 100
2591 | 2857 | JT9188 | GPE Running | 292
2605 | 2824 | FT6424 | QUVC Running | 137
2609 | 2609 | WB9472 | AUQI Running | 374
2614 | 2614 | VV2012 | GAOO Running | 70
2617 | 2617 | ZO8811 | GQA Waiting | 94
2635 | 2854 | CO8265 | QUVC Running | 139
2639 | 2639 | WB9472 | AUQI Running | 344
2644 | 2644 | VV2012 | GAOO Running | 40
2665 | 2884 | JI3242 | QUVC Running | 123
2667 | 2667 | BV5379 | LGU Waiting | 458
2669 | 2669 | WB9472 | AUQI Running | 314
2674 | 2674 | VV2012 | GAOO Running | 10
2684 | 2684 | VV2012 | GAOO Waiting | 79
2695 | 2914 | WI9492 | QUVC Running | 63
2699 | 2699 | WB9472 | AUQI Running | 284
2711 | 2711 | ZO8811 | GQA Running | 211
2725 | 2944 | GX8719 | QUVC Running | 221
2729 | 2729 | WB9472 | AUQI Running | 254
2734 | 2734 | PQ7150 | NPRF Running | 238
2755 | 2974 | SN9875 | QUVC Running | 349
2759 | 2759 | WB9472 | AUQI Running | 224
2763 | 2763 | VV2012 | GAOO Running | 456
2764 | 2764 | DK8977 | QUVC Waiting | 446
2764 | 2764 | PQ7150 | NPRF Running | 208
2772 | 2793 | SB6237 | GAOO Running | 335
2789 | 2789 | WB9472 | AUQI Running | 194
2793 | 2823 | VV2012 | GAOO Running | 426
2794 | 2794 | PQ7150 | NPRF Running | 178
2794 | 3004 | UC2715 | QUVC Running | 215
2815 | 2815 | ZS4171 | CNO Waiting | 65
2819 | 2819 | WB9472 | AUQI Running | 164
2823 | 2853 | SB6237 | GAOO Running | 305
2824 | 2824 | PQ7150 | NPRF Running | 148
2824 | 3034 | YT4676 | QUVC Running | 245
2849 | 2849 | WB9472 | AUQI Running | 134
2850 | 2850 | JH7378 | XSL Running | 97
2853 | 2883 | VV2012 | GAOO Running | 396
2854 | 3064 | FT6424 | QUVC Running | 107
2854 | 2854 | PQ7150 | NPRF Running | 118
2857 | 2857 | VR9975 | GPE Waiting | 308
2879 | 2879 | WB9472 | AUQI Running | 104
2880 | 2880 | ZS4171 | CNO Running | 488
2883 | 2913 | SB6237 | GAOO Running | 275
2884 | 3094 | CO8265 | QUVC Running | 109
2884 | 2884 | PQ7150 | NPRF Running | 88
2909 | 2909 | WB9472 | AUQI Running | 74
2913 | 2943 | VV2012 | GAOO Running | 366
2914 | 3124 | JI3242 | QUVC Running | 93
2914 | 2914 | PQ7150 | NPRF Running | 58
2922 | 2973 | ZO8811 | GAOO Running | 117
2932 | 2939 | BZ4125 | AUQI Running | 234
2939 | 2969 | WB9472 | AUQI Running | 44
2943 | 3003 | SB6237 | GAOO Running | 245
2944 | 2944 | PQ7150 | NPRF Running | 28
2944 | 3154 | WI9492 | QUVC Running | 33
2947 | 2947 | JH7378 | XSL Waiting | 277
2969 | 2999 | BZ4125 | AUQI Running | 204
2972 | 2972 | PQ7150 | NPRF Waiting | 304
2973 | 3033 | VV2012 | GAOO Running | 336
2974 | 3184 | GX8719 | QUVC Running | 191
2999 | 3029 | WB9472 | AUQI Running | 14
3003 | 3063 | ZO8811 | GAOO Running | 87
3004 | 3214 | SN9875 | QUVC Running | 319
3029 | 3043 | BZ4125 | AUQI Running | 174
3033 | 3093 | SB6237 | GAOO Running | 215
3034 | 3244 | UC2715 | QUVC Running | 185
3043 | 3043 | WB9472 | AUQI Waiting | 13
3056 | 3073 | WB9472 | AUQI Running | 180
3063 | 3123 | VV2012 | GAOO Running | 306
3064 | 3274 | YT4676 | QUVC Running | 215
3073 | 3103 | BZ4125 | AUQI Running | 144
3093 | 3153 | ZO8811 | GAOO Running | 57
3094 | 3304 | FT6424 | QUVC Running | 77
3103 | 3133 | WB9472 | AUQI Running | 150
3123 | 3183 | SB6237 | GAOO Running | 185
3124 | 3334 | CO8265 | QUVC Running | 79
3125 | 3125 | BV5379 | LGU Running | 326
3133 | 3163 | BZ4125 | AUQI Running | 114
3149 | 3149 | JT9188 | GPE Waiting | 357
3153 | 3213 | VV2012 | GAOO Running | 276
3154 | 3364 | JI3242 | QUVC Running | 63
3163 | 3193 | WB9472 | AUQI Running | 120
3165 | 3165 | VR9975 | GPE Running | 498
3183 | 3243 | ZO8811 | GAOO Running | 27
3184 | 3394 | WI9492 | QUVC Running | 3
3193 | 3223 | BZ4125 | AUQI Running | 84
3210 | 3397 | DK8977 | QUVC Running | 31
3213 | 3270 | SB6237 | GAOO Running | 155
3214 | 3427 | GX8719 | QUVC Running | 161
3223 | 3253 | WB9472 | AUQI Running | 90
3224 | 3224 | JH7378 | XSL Running | 154
3243 | 3300 | VV2012 | GAOO Running | 246
3244 | 3457 | SN9875 | QUVC Running | 289
3253 | 3283 | BZ4125 | AUQI Running | 54
3270 | 3270 | ZO8811 | GAOO Waiting | 493
3274 | 3487 | UC2715 | QUVC Running | 155
3276 | 3276 | PQ7150 | NPRF Running | 85
3283 | 3313 | WB9472 | AUQI Running | 60
3300 | 3330 | SB6237 | GAOO Running | 125
3304 | 3517 | YT4676 | QUVC Running | 185
3306 | 3306 | PQ7150 | NPRF Running | 55
3313 | 3343 | BZ4125 | AUQI Running | 24
3330 | 3360 | VV2012 | GAOO Running | 216
3334 | 3547 | FT6424 | QUVC Running | 47
3336 | 3336 | PQ7150 | NPRF Running | 25
3343 | 3367 | WB9472 | AUQI Running | 30
3360 | 3390 | SB6237 | GAOO Running | 95
3361 | 3361 | PQ7150 | EBF Running | 31
3364 | 3577 | CO8265 | QUVC Running | 49
3367 | 3367 | BZ4125 | AUQI Waiting | 234
3368 | 3368 | ZS4171 | NPRF Running | 29
3378 | 3397 | JH7378 | NPRF Running | 465
3390 | 3420 | VV2012 | GAOO Running | 186
3392 | 3392 | PQ7150 | EBF Waiting | 54
3394 | 3607 | JI3242 | QUVC Running | 33
3397 | 3397 | WB9472 | SYL Running | 277
3397 | 3397 | WI9492 | QUVC Waiting | 29
3397 | 3397 | ZS4171 | NPRF Waiting | 136
3420 | 3450 | SB6237 | GAOO Running | 65
3426 | 3637 | WI9492 | QUVC Running | 17
3427 | 3654 | DK8977 | QUVC Running | 1
3427 | 3427 | JH7378 | NPRF Running | 435
3446 | 3446 | PQ7150 | EBF Running | 369
3450 | 3480 | VV2012 | GAOO Running | 156
3451 | 3451 | BV5379 | LGU Waiting | 451
3457 | 3655 | GX8719 | QUVC Running | 131
3457 | 3457 | JH7378 | NPRF Running | 405
3480 | 3510 | SB6237 | GAOO Running | 35
3487 | 3487 | JH7378 | NPRF Running | 375
3487 | 3685 | SN9875 | QUVC Running | 259
3506 | 3663 | JT9188 | GPE Running | 301
3510 | 3540 | VV2012 | GAOO Running | 126
3517 | 3517 | JH7378 | NPRF Running | 345
3517 | 3715 | UC2715 | QUVC Running | 125
3533 | 3547 | ZS4171 | NPRF Running | 182
3540 | 3570 | SB6237 | GAOO Running | 5
3547 | 3577 | JH7378 | NPRF Running | 315
3547 | 3745 | YT4676 | QUVC Running | 155
3570 | 3575 | VV2012 | GAOO Running | 96
3575 | 3575 | SB6237 | GAOO Waiting | 448
3577 | 3775 | FT6424 | QUVC Running | 17
3577 | 3607 | ZS4171 | NPRF Running | 152
3601 | 3601 | BZ4125 | AUQI Running | 310
3605 | 3605 | VV2012 | GAOO Running | 66
3607 | 3792 | CO8265 | QUVC Running | 19
3607 | 3637 | JH7378 | NPRF Running | 285
3631 | 3631 | BZ4125 | AUQI Running | 280
3635 | 3635 | VV2012 | GAOO Running | 36
3637 | 3811 | JI3242 | QUVC Running | 3
3637 | 3667 | ZS4171 | NPRF Running | 122
3654 | 3654 | WI9492 | DXM Running | 217
3655 | 3655 | DK8977 | VYZ Running | 21
3661 | 3661 | BZ4125 | AUQI Running | 250
3663 | 3663 | VR9975 | GPE Waiting | 206
3665 | 3665 | VV2012 | GAOO Running | 6
3667 | 3697 | JH7378 | NPRF Running | 255
3671 | 3671 | VV2012 | AGK Running | 391
3674 | 3674 | WB9472 | SYL Waiting | 340
3676 | 3676 | DK8977 | VYZ Waiting | 379
3685 | 3814 | GX8719 | QUVC Running | 101
3691 | 3691 | BZ4125 | AUQI Running | 220
3697 | 3727 | ZS4171 | NPRF Running | 92
3715 | 3844 | SN9875 | QUVC Running | 229
3721 | 3721 | BZ4125 | AUQI Running | 190
3727 | 3757 | JH7378 | NPRF Running | 225
3745 | 3874 | UC2715 | QUVC Running | 95
3751 | 3751 | BZ4125 | AUQI Running | 160
3757 | 3787 | ZS4171 | NPRF Running | 62
3763 | 3763 | ZO8811 | GAOO Running | 414
3775 | 3904 | YT4676 | QUVC Running | 125
3781 | 3781 | BZ4125 | AUQI Running | 130
3787 | 3817 | JH7378 | NPRF Running | 195
3792 | 3792 | FT6424 | VYZ Running | 148
3793 | 3793 | ZO8811 | GAOO Running | 384
3811 | 3811 | CO8265 | QUVC Waiting | 455
3811 | 3811 | BZ4125 | AUQI Running | 100
3814 | 3871 | JI3242 | DXM Running | 27
3815 | 3815 | PQ7150 | EBF Waiting | 244
3817 | 3847 | ZS4171 | NPRF Running | 32
3823 | 3823 | ZO8811 | GAOO Running | 354
3841 | 3841 | BZ4125 | AUQI Running | 70
3844 | 3934 | GX8719 | QUVC Running | 71
3847 | 3877 | JH7378 | NPRF Running | 165
3853 | 3853 | ZO8811 | GAOO Running | 324
3869 | 3964 | VR9975 | GPE Running | 129
3871 | 3871 | WI9492 | DXM Waiting | 311
3871 | 3871 | BZ4125 | AUQI Running | 40
3874 | 3964 | SN9875 | QUVC Running | 199
3877 | 3907 | ZS4171 | NPRF Running | 2
3883 | 3883 | ZO8811 | GAOO Running | 294
3898 | 3898 | JI3242 | DXM Waiting | 325
3901 | 3901 | BZ4125 | AUQI Running | 10
3902 | 3902 | BV5379 | LGU Running | 293
3904 | 3994 | UC2715 | QUVC Running | 65
3907 | 3909 | JH7378 | NPRF Running | 135
3909 | 3909 | ZS4171 | DZX Running | 302
3911 | 3911 | BZ4125 | FSP Running | 234
3913 | 3913 | ZO8811 | GAOO Running | 264
3934 | 4024 | YT4676 | QUVC Running | 95
3939 | 3939 | JH7378 | NPRF Running | 105
3940 | 3940 | FT6424 | VYZ Waiting | 341
3943 | 3943 | ZO8811 | GAOO Running | 234
3964 | 3969 | JT9188 | NPRF Running | 186
3964 | 4054 | GX8719 | QUVC Running | 41
3969 | 3999 | JH7378 | NPRF Running | 75
3973 | 3973 | ZO8811 | GAOO Running | 204
3994 | 4084 | SN9875 | QUVC Running | 169
3999 | 4029 | JT9188 | NPRF Running | 156
4003 | 4003 | ZO8811 | GAOO Running | 174
4014 | 4014 | WB9472 | SYL Running | 159
4023 | 4033 | SB6237 | GAOO Running | 43
4024 | 4114 | UC2715 | QUVC Running | 35
4029 | 4059 | JH7378 | NPRF Running | 45
4033 | 4063 | ZO8811 | GAOO Running | 144
4054 | 4144 | YT4676 | QUVC Running | 65
4055 | 4055 | DK8977 | VYZ Running | 417
4059 | 4059 | PQ7150 | EBF Running | 465
4059 | 4089 | JT9188 | NPRF Running | 126
4062 | 4062 | VV2012 | AGK Waiting | 167
4063 | 4093 | SB6237 | GAOO Running | 13
4084 | 4174 | GX8719 | QUVC Running | 11
4089 | 4119 | JH7378 | NPRF Running | 15
4093 | 4134 | VR9975 | NPRF Running | 149
4093 | 4106 | ZO8811 | GAOO Running | 114
4106 | 4106 | SB6237 | CSW Running | 273
4114 | 4185 | SN9875 | QUVC Running | 139
4119 | 4164 | JT9188 | NPRF Running | 96
4134 | 4134 | JH7378 | NPRF Waiting | 457
4136 | 4136 | ZO8811 | GAOO Running | 84
4144 | 4215 | UC2715 | QUVC Running | 5
4145 | 4145 | BZ4125 | FSP Waiting | 405
4164 | 4194 | VR9975 | NPRF Running | 119
4166 | 4166 | ZO8811 | GAOO Running | 54
4173 | 4173 | WB9472 | SYL Waiting | 31
4174 | 4220 | YT4676 | QUVC Running | 35
4182 | 4182 | WI9492 | DXM Running | 249
4185 | 4472 | GX8719 | VYZ Running | 118
4194 | 4224 | JT9188 | NPRF Running | 66
4195 | 4195 | BV5379 | LGU Waiting | 405
4196 | 4196 | ZO8811 | GAOO Running | 24
4204 | 4204 | WB9472 | SYL Running | 39
4211 | 4211 | ZS4171 | DZX Waiting | 421
4215 | 4250 | SN9875 | QUVC Running | 109
4220 | 4220 | UC2715 | QUVC Waiting | 53
4220 | 4379 | ZO8811 | CSW Running | 446
4223 | 4431 | JI3242 | DXM Running | 239
4224 | 4254 | VR9975 | NPRF Running | 89
4229 | 4229 | VV2012 | AGK Running | 253
4243 | 4243 | WB9472 | SYL Waiting | 445
4250 | 4280 | YT4676 | QUVC Running | 5
